mode,mesh_resolution,build_path,linear_solver_mode,ksp_type,pc_type,block_pc_name,ndof_u,ndof_phi,total_dofs,accepted_state_index,load_value,newton_iteration_within_load,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,contact_quadrature_loop_time,contact_geometry_eval_time,contact_query_time,contact_gap_normal_eval_time,contact_active_filter_time,contact_local_residual_time,contact_local_tangent_uu_time,contact_local_tangent_uphi_time,contact_geometry_eval_call_count,contact_geometry_eval_avg_time,contact_query_avg_time,contact_query_call_count,contact_query_cache_hit_count,contact_query_cache_miss_count,contact_sensitivity_call_count,contact_sensitivity_cache_hit_count,contact_sensitivity_cache_miss_count,contact_sensitivity_time,contact_sensitivity_avg_time,contact_local_tangent_uphi_call_count,contact_local_tangent_uu_call_count,cell_geometry_cache_hit_count,cell_geometry_cache_miss_count,function_cell_dof_cache_hit_count,function_cell_dof_cache_miss_count,vector_subfunction_cache_hit_count,vector_subfunction_cache_miss_count,contact_scatter_to_global_time,phi_form_assembly_time,phi_matrix_extract_time,phi_matrix_convert_time,phi_rhs_assembly_time,phi_rhs_extract_time,phi_matrix_extract_or_convert_time,phi_rhs_extract_or_convert_time,phi_dof_lookup_time,phi_geometry_helper_time,phi_basis_tabulation_time,phi_form_call_count,phi_form_cache_hit_count,phi_form_cache_miss_count,phi_matrix_extract_call_count,phi_matrix_convert_call_count,phi_rhs_extract_call_count,phi_dof_lookup_call_count,phi_basis_tabulation_call_count,phi_residual_form_assembly_time,phi_residual_extract_time,phi_kphiu_form_assembly_time,phi_kphiu_extract_time,phi_kphiu_convert_time,phi_kphiphi_form_assembly_time,phi_kphiphi_extract_time,phi_kphiphi_convert_time,phi_form_time_R_phi,phi_form_time_K_phi_u,K_phi_u_pre_assemble_overhead_time,K_phi_u_assemble_call_time,K_phi_u_post_assemble_immediate_time,K_phi_u_assembly_target_cell_count,K_phi_u_assembly_target_facet_count,K_phi_u_target_u_dof_count,K_phi_u_target_phi_dof_count,K_phi_u_output_nnz,K_phi_u_output_density,K_phi_u_active_row_count,K_phi_u_active_col_count,K_phi_u_active_row_fraction,K_phi_u_active_col_fraction,contact_candidate_point_count,contact_active_point_count,contact_active_fraction,K_phi_u_rows_touched_by_active_contact,K_phi_u_cols_touched_by_active_contact,K_phi_u_active_support_row_fraction,K_phi_u_active_support_col_fraction,K_phi_u_active_support_fraction,phi_form_time_K_phi_phi,phi_extract_time_K_phi_u,phi_convert_time_K_phi_u,phi_extract_time_K_phi_phi,phi_convert_time_K_phi_phi,phi_form_call_count_R_phi,phi_form_call_count_K_phi_u,phi_form_call_count_K_phi_phi,phi_matrix_extract_call_count_K_phi_u,phi_matrix_convert_call_count_K_phi_u,phi_matrix_extract_call_count_K_phi_phi,phi_matrix_convert_call_count_K_phi_phi,phi_scatter_pattern_build_time,phi_scatter_pattern_build_count,dofmap_lookup_time,surface_entity_iteration_time,basis_eval_or_tabulation_time,numpy_temp_allocation_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,reuse_attempted,reuse_failed_stage,reuse_failure_message,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,2,0.02,1,1,3,0.004040188733215321,3.464326148051463e-05,0.008574664147668254,0.2658346320000078,0.007943373000003362,0.03976447200000166,0.21812678700000276,0.03450850600000166,0.03438497300001586,0.0,3.03199999507342e-05,3.672300000090445e-05,0.0002564389999974992,0.0021048179999922922,0.002277371000054984,64,0.0005372652031252478,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,6.239000015284546e-06,0.21411260400000742,0.0004046140000042442,0.0011850990000041861,0.010837418000001264,3.4660000025610316e-06,0.0015897130000084303,3.4660000025610316e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.010837418000001264,3.4660000025610316e-06,0.1575342480000046,3.63370000044938e-05,0.0002802620000039724,0.04574093800000156,0.0003682769999997504,0.0009048370000002137,0.010837418000001264,0.1575342480000046,9.437000002776585e-06,0.15751666599999936,8.145000002457436e-06,64,0,375,729,7938,0.02903703703703704,243,150,0.3333333333333333,0.4,64,64,1.0,243,150,1.0,1.0,1.0,0.04574093800000156,3.63370000044938e-05,0.0002802620000039724,0.0003682769999997504,0.0009048370000002137,1,1,1,1,1,1,1,0.0,0.0,0.0,0.034494902999981036,0.0,0.008371824000001027,0.23965629199999938,0.00024660000000409354,0.0,0.025002538000002517,0.002172548999993751,3.420299999845611e-05,7.724400000341802e-05,0.08858540700000361,0.08876047400000431,0.08402470099999704,0.47139789599999915,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,2,0.02,2,1,3,3.4643261480514616e-05,3.1559426103524963e-07,0.00910983110561799,0.2623486540000073,0.01078629100000228,0.007926251000000661,0.24363611200000435,0.002303804000000298,0.00220859599997425,0.0,3.553900001662669e-05,3.628199998928494e-05,0.0003093079999914039,0.002380677000012099,0.002434582000013563,64,3.4509312499597655e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,6.825999982140729e-06,0.23875884099999922,0.00021283599999577518,0.001226285000001326,0.01120658600000013,4.287999999519343e-06,0.001439120999997101,4.287999999519343e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.01120658600000013,4.287999999519343e-06,0.18256876799999588,3.0586999997694875e-05,0.00041013399999911826,0.04498348700000321,0.0001822489999980803,0.0008161510000022076,0.01120658600000013,0.18256876799999588,7.623999998429554e-06,0.1825567659999976,4.377999999860549e-06,64,0,375,729,7938,0.02903703703703704,243,150,0.3333333333333333,0.4,64,64,1.0,243,150,1.0,1.0,1.0,0.04498348700000321,3.0586999997694875e-05,0.00041013399999911826,0.0001822489999980803,0.0008161510000022076,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0022922710000372604,0.0,0.008371824000001027,0.2654480810000024,0.00022168299999947294,0.0,0.026371707999999217,0.0015062380000046005,2.8412999995452992e-05,2.8042000003836165e-05,0.07211305799999934,0.07222696099999837,0.06458792700000515,0.4326744259999984,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,2,0.02,3,1,3,3.155942610337466e-07,2.875692730773067e-09,0.00911199310581116,0.2289387430000005,0.009579740999996034,0.007328678000000366,0.2120303240000041,0.001925579999998206,0.0018556239999938384,0.0,1.4839999991522745e-05,3.503399998550094e-05,0.0002735049999884609,0.002199708000027556,0.00235019600003028,64,2.8994124999903725e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,6.556999956330856e-06,0.208962929000009,0.0002805129999927658,0.0012934089999987464,0.010096339999996928,1.7830000018648207e-06,0.0015739219999915122,1.7830000018648207e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.010096339999996928,1.7830000018648207e-06,0.15506148700000466,3.67490000030557e-05,0.0003718229999947198,0.04380510200000742,0.0002437639999897101,0.0009215860000040266,0.010096339999996928,0.15506148700000466,8.114999999975225e-06,0.1550433930000068,9.978999997883875e-06,64,0,375,729,7938,0.02903703703703704,243,150,0.3333333333333333,0.4,64,64,1.0,243,150,1.0,1.0,1.0,0.04380510200000742,3.67490000030557e-05,0.0003718229999947198,0.0002437639999897101,0.0009215860000040266,1,1,1,1,1,1,1,0.0,0.0,0.0,0.001914062000018646,0.0,0.008371824000001027,0.23543486100000166,0.00024090899999862359,0.0,0.025657337999987817,0.002187255999999138,4.141700000559467e-05,3.180900000643305e-05,0.07044966799999486,0.07058717399999637,0.06327958600000727,0.39678744800000487,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,3,0.04,1,1,3,0.003486726843316954,2.9072714776764468e-05,0.008338110807988429,0.25448461800000644,0.007215707000000293,0.0424206120000008,0.20484829900000534,0.03772468100000026,0.03760568899996031,0.0,2.884399997071796e-05,2.6376999983313e-05,0.00024161899995078784,0.0019515280000632629,0.002109604000025911,64,0.0005875888906243798,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,5.911999963359449e-06,0.2029781359999845,0.0001135919999910584,0.0012021600000053922,0.010465034999995737,5.740999995396123e-06,0.0013157519999964506,5.740999995396123e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.010465034999995737,5.740999995396123e-06,0.14873507999999447,3.287199999135737e-05,0.0002846699999992097,0.04377802099999428,8.071999999970103e-05,0.0009174900000061825,0.010465034999995737,0.14873507999999447,9.086999995133738e-06,0.14871838899999545,7.604000003880174e-06,64,0,375,729,7938,0.02903703703703704,243,150,0.3333333333333333,0.4,64,64,1.0,243,150,1.0,1.0,1.0,0.04377802099999428,3.287199999135737e-05,0.0002846699999992097,8.071999999970103e-05,0.0009174900000061825,1,1,1,1,1,1,1,0.0,0.0,0.0,0.037711309999949094,0.0,0.008371824000001027,0.22734662999999955,0.00031146000000603635,0.0,0.025265267999998287,0.0025824330000006057,4.538500000705881e-05,3.3251999994377e-05,0.06970233500000234,0.06984299699999497,0.06268808499999068,0.42044073699999274,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,3,0.04,2,1,3,2.9072714776759972e-05,2.532955023487046e-07,0.008712481936884096,0.21983828499999447,0.00804311100000632,0.00641287099999488,0.20538230299999327,0.0017943240000022342,0.0017294350000440772,0.0,1.481800001101874e-05,2.529799995443227e-05,0.00024828900004081333,0.0019048880000553936,0.0021002029999550587,64,2.7022421875688707e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,5.941999987157942e-06,0.2015082139999862,0.00017771100000629758,0.0010996200000050749,0.010172576999991634,5.189000006566857e-06,0.0012773310000113725,5.189000006566857e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.010172576999991634,5.189000006566857e-06,0.14637987300000077,3.5316000008833726e-05,0.0004135709999957271,0.04495576399999379,0.00014239499999746386,0.0006860490000093478,0.010172576999991634,0.14637987300000077,9.68800000578085e-06,0.14636119799999392,8.987000001070555e-06,64,0,375,729,7938,0.02903703703703704,243,150,0.3333333333333333,0.4,64,64,1.0,243,150,1.0,1.0,1.0,0.04495576399999379,3.5316000008833726e-05,0.0004135709999957271,0.00014239499999746386,0.0006860490000093478,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0017850940000698756,0.0,0.008371824000001027,0.2269533260000003,0.00020558300001027874,0.0,0.02534196799999222,0.001318907999987573,3.5306000000900895e-05,3.335200000265104e-05,0.06865461700000708,0.06880549800000324,0.06357486800000345,0.3844908850000053,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,3,0.04,3,1,3,2.53295502342383e-07,2.207762206504144e-09,0.008716152423108886,0.22519605200001536,0.009710851999997772,0.010186139000012417,0.20529906100000517,0.0037616839999969898,0.0036244059999006595,0.0,2.64770000342196e-05,4.1319000004591544e-05,0.00033266400006937147,0.002650893000023302,0.0028828269999934264,64,5.6631343748447804e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,6.64499998492829e-06,0.2021104539999783,0.0002811140000034129,0.0012742480000014211,0.010429751999993186,2.5239999956738757e-06,0.001555362000004834,2.5239999956738757e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.010429751999993186,2.5239999956738757e-06,0.1485498169999886,3.330200000561945e-05,0.0002451769999964881,0.04313088499999651,0.00024781199999779346,0.001029071000004933,0.010429751999993186,0.1485498169999886,8.886999992796518e-06,0.1485334660000035,7.463999992296522e-06,64,0,375,729,7938,0.02903703703703704,243,150,0.3333333333333333,0.4,64,64,1.0,243,150,1.0,1.0,1.0,0.04313088499999651,3.330200000561945e-05,0.0002451769999964881,0.00024781199999779346,0.001029071000004933,1,1,1,1,1,1,1,0.0,0.0,0.0,0.003744780999952013,0.0,0.008371824000001027,0.22915685099999905,0.00024709999999572574,0.0,0.026061136999999235,0.002442682999998169,3.72400000117068e-05,3.4553999995523554e-05,0.06982972700001255,0.06999961299999313,0.06871533100000704,0.3987549059999935,False,False,False,False,False,False,,,0,0,0,0,0
