attempt_state_index,accepted_state_index,accepted,step,load_value,target_load,attempt_load,accepted_load_before_step,load_increment,converged,outer_iterations,active_contact_points,negative_gap_sum,max_penetration,reaction_norm,du_norm,dphi_norm,cutback_level,cutback_triggered,cutback_reason,min_increment_reached,restore_u_diff_norm,restore_phi_diff_norm,terminated_early,termination_reason,requested_final_target_load,final_accepted_load,reached_final_target,used_contact_tangent_uu,contact_structure_mode,output_index
1,1,True,1,0.0,0.0,0.0,0.0,0.0,True,2,8,3.596741472147831e-18,2.85271299021229e-17,1.2697478269468207e-18,1.757088064507849e-21,0.0,0,False,,False,0.0,0.0,False,completed_schedule,0.06,0.06,True,True,consistent_linearized,0
2,2,True,2,0.02,0.02,0.02,0.0,0.02,True,5,36,0.020003797549486346,0.020003868619770798,0.005234785475953887,6.4472200432035445e-12,0.0,0,False,,False,0.0,0.0,False,completed_schedule,0.06,0.06,True,True,consistent_linearized,1
3,3,True,3,0.04,0.04,0.04,0.02,0.02,True,5,36,0.04001428689200306,0.040014589142553736,0.00987494604570755,5.24700282563265e-12,0.0,0,False,,False,0.0,0.0,False,completed_schedule,0.06,0.06,True,True,consistent_linearized,2
4,4,True,4,0.06,0.06,0.06,0.04,0.019999999999999997,True,5,36,0.06003010844992125,0.060030828999713466,0.014005056884434684,4.2262224504149086e-12,0.0,0,False,,False,0.0,0.0,False,completed_schedule,0.06,0.06,True,True,consistent_linearized,3
