attempt_state_index,accepted_state_index,accepted,step,load_value,target_load,attempt_load,accepted_load_before_step,load_increment,converged,backend,build_path,linear_solver_mode,ksp_type,pc_type,block_pc_name,linear_converged,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,contact_quadrature_loop_time,contact_geometry_eval_time,contact_query_time,contact_gap_normal_eval_time,contact_active_filter_time,contact_local_residual_time,contact_local_tangent_uu_time,contact_local_tangent_uphi_time,contact_geometry_eval_call_count,contact_geometry_eval_avg_time,contact_query_avg_time,contact_query_call_count,contact_query_cache_hit_count,contact_query_cache_miss_count,contact_sensitivity_call_count,contact_sensitivity_cache_hit_count,contact_sensitivity_cache_miss_count,contact_sensitivity_time,contact_sensitivity_avg_time,contact_local_tangent_uphi_call_count,contact_local_tangent_uu_call_count,cell_geometry_cache_hit_count,cell_geometry_cache_miss_count,function_cell_dof_cache_hit_count,function_cell_dof_cache_miss_count,vector_subfunction_cache_hit_count,vector_subfunction_cache_miss_count,contact_scatter_to_global_time,phi_form_assembly_time,phi_matrix_extract_or_convert_time,phi_rhs_extract_or_convert_time,dofmap_lookup_time,surface_entity_iteration_time,basis_eval_or_tabulation_time,numpy_temp_allocation_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,load_step_walltime,newton_iterations,residual_norm,increment_norm,active_contact_points,negative_gap_sum,max_penetration,reaction_norm,mesh_resolution,ndof_u,ndof_phi,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,reuse_attempted,reuse_failed_stage,reuse_failure_message,linear_iterations_list,ksp_reason_list,outer_residual_norm_before_linear_list,outer_residual_norm_after_linear_list,relative_linear_reduction_list,assembly_time_list,struct_block_assembly_time_list,contact_block_assembly_time_list,phi_block_assembly_time_list,contact_quadrature_loop_time_list,contact_geometry_eval_time_list,contact_query_time_list,contact_gap_normal_eval_time_list,contact_active_filter_time_list,contact_local_residual_time_list,contact_local_tangent_uu_time_list,contact_local_tangent_uphi_time_list,contact_geometry_eval_call_count_list,contact_geometry_eval_avg_time_list,contact_query_avg_time_list,contact_query_call_count_list,contact_query_cache_hit_count_list,contact_query_cache_miss_count_list,contact_sensitivity_call_count_list,contact_sensitivity_cache_hit_count_list,contact_sensitivity_cache_miss_count_list,contact_sensitivity_time_list,contact_sensitivity_avg_time_list,contact_local_tangent_uphi_call_count_list,contact_local_tangent_uu_call_count_list,cell_geometry_cache_hit_count_list,cell_geometry_cache_miss_count_list,function_cell_dof_cache_hit_count_list,function_cell_dof_cache_miss_count_list,vector_subfunction_cache_hit_count_list,vector_subfunction_cache_miss_count_list,contact_scatter_to_global_time_list,phi_form_assembly_time_list,phi_matrix_extract_or_convert_time_list,phi_rhs_extract_or_convert_time_list,dofmap_lookup_time_list,surface_entity_iteration_time_list,basis_eval_or_tabulation_time_list,numpy_temp_allocation_time_list,block_build_time_list,bc_elimination_time_list,global_matrix_allocation_time_list,global_matrix_fill_time_list,global_rhs_build_time_list,petsc_object_setup_time_list,ksp_setup_time_list,ksp_solve_time_list,linear_solve_time_list,state_update_time_list,newton_step_walltime_list,cutback_level,step_length,cutback_triggered,cutback_reason,terminated_early,termination_reason,requested_final_target_load,final_accepted_load,reached_final_target,output_index
1,1,True,1,0.0,0.0,0.0,0.0,0.0,True,petsc_block,optimized,krylov,gmres,ilu,global_ilu,True,0,0,0.0,1.0127290217924556e-15,0.0,0.2918385199999989,0.013223176000000336,0.05129796299999967,0.22731738099999887,0.03816695800000147,0.03805380999997965,0.0,2.789500002009504e-05,2.1657999987212406e-05,0.00013543199998622413,0.0011442349999946089,0.0013064439999936894,64,0.000594590781249682,0.0,0,0,0,0,0,0,0.0,0.0,40,40,0,0,0,0,0,0,3.5569999781159822e-06,0.2168774219999996,0.007162188999998875,2.0439999985910617e-06,0.0,0.03815515700001271,0.0,0.007888653999998496,0.2538073549999993,0.0002598949999992328,0.0,0.02616216300000218,0.009687586000001858,0.00036826599999884024,0.0,0.0,0.0,0.0,0.0,0.33336090200000257,0,1.0127290217924556e-15,0.0,40,3.382482780750141e-17,1.1780167672049484e-16,7.441601948699272e-18,4x4x4,375,729,56088,15195,7544,7938,35937,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,False,,True,Reached max_load_steps=2,0.06,0.04,False,0
2,2,True,2,0.02,0.02,0.02,0.0,0.02,True,petsc_block,optimized,krylov,gmres,ilu,global_ilu,True,3,3,3.155942610337466e-07,2.875692730773067e-09,0.00911199310581116,0.21367654600000208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22101364200000262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667599420000009,0.05870270499999819,0.3702611100000013,1.1609098109999998,3,2.875692730773067e-09,1.1530418609470772e-07,64,0.02000000000004424,0.020000000000082094,0.004040129892040644,4x4x4,375,729,0,0,0,0,0,False,False,False,False,False,False,,,1|1|1,3|3|3,4.0401887332153210e-03|3.4643261480514616e-05|3.1559426103374662e-07,3.4643261480514629e-05|3.1559426103524963e-07|2.8756927307730669e-09,8.5746641476682536e-03|9.1098311056179906e-03|9.1119931058111607e-03,2.4153653400000152e-01|2.1678908899999882e-01|2.1367654600000208e-01,7.6052659999987782e-03|8.3745589999999481e-03|6.8112350000006927e-03,3.4998944000001586e-02|6.4817509999990364e-03|6.9030059999981574e-03,1.9893232400000116e-01|2.0193277899999984e-01|1.9996230500000323e-01,3.0068894999999429e-02|1.8644049999991807e-03|1.9033879999987846e-03,2.9963558999980933e-02|1.7970159999869395e-03|1.8355020000129230e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.5280000013339077e-05|1.8637000003707271e-05|1.6737999999349995e-05,2.8345000018248356e-05|2.6042000008885680e-05|3.0445000000156597e-05,2.5955400000654549e-04|2.3855499997438301e-04|2.4504499999622453e-04,2.0710860000008324e-03|1.9148929999950326e-03|1.9884079999989979e-03,2.2464649999918151e-03|2.0961839999955600e-03|2.3645360000124072e-03,64|64|64,4.6818060937470207e-04|2.8078374999795930e-05|2.8679718750201921e-05,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,64|64|64,64|64|64,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,6.2060000018959727e-06|5.7789999807766890e-06|6.0529999892366959e-06,1.9529449399999521e-01|1.9735157900000289e-01|1.9698855200000764e-01,1.2149540000052639e-03|1.2358429999999032e-03|1.0640829999957191e-03,1.7029999987983047e-06|2.1140000008301740e-06|1.7830000018648207e-06,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,3.0057775999996039e-02|1.8540740000076994e-03|1.8935240000139686e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,7.8886539999984961e-03|7.8886539999984961e-03|7.8886539999984961e-03,2.1893913400000287e-01|2.2219107900000168e-01|2.2101364200000262e-01,2.4477600000238908e-04|2.2755400000207260e-04|2.0217599999838853e-04,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.4611552999999731e-02|2.4846811999999829e-02|2.5269478999998540e-02,1.7342730000002859e-03|1.2985800000002712e-03|1.1717940000046667e-03,3.2911000001689672e-05|2.7651999999989130e-05|3.6657999999079038e-05,7.2975999998448060e-05|3.1978999999182633e-05|2.9183999998849686e-05,7.9514374999998694e-02|6.5611050999997644e-02|6.6647301999999797e-02,7.9664022999999418e-02|6.5725955000001335e-02|6.6759942000000905e-02,6.6515837000000744e-02|5.8780939999998338e-02|5.8702704999998190e-02,4.1840946199999962e-01|3.7191708800000001e-01|3.7026111000000128e-01,0,1.0,False,,True,Reached max_load_steps=2,0.06,0.04,False,1
3,3,True,3,0.04,0.04,0.04,0.02,0.02,True,petsc_block,optimized,krylov,gmres,ilu,global_ilu,True,3,3,2.53295502342383e-07,2.207762206504144e-09,0.008716152423108886,0.2108607369999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2184228130000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06473550900000191,0.06319069999999982,0.3692755830000003,1.1456662559999984,3,2.207762206504144e-09,1.0122416849607581e-07,64,0.03999999999866171,0.0400000000007671,0.007481773054649275,4x4x4,375,729,0,0,0,0,0,False,False,False,False,False,False,,,1|1|1,3|3|3,3.4867268433169539e-03|2.9072714776759972e-05|2.5329550234238301e-07,2.9072714776764468e-05|2.5329550234870458e-07|2.2077622065041440e-09,8.3381108079884289e-03|8.7124819368840957e-03|8.7161524231088860e-03,2.4750160099999974e-01|2.1781870399999548e-01|2.1086073699999730e-01,7.1499959999989926e-03|7.8180719999991766e-03|6.6580499999986387e-03,3.9512075000001090e-02|6.3078769999975748e-03|6.2728809999974544e-03,2.0083952999999966e-01|2.0369275499999873e-01|1.9792980600000121e-01,3.4914256000000421e-02|1.7700289999993402e-03|1.7850869999982422e-03,3.4801596000011870e-02|1.7078579999925125e-03|1.7233969999885801e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.7133999999762182e-05|1.5573999991858045e-05|1.5607999994671218e-05,2.7212999992087816e-05|2.5092000001336601e-05|2.5035000000173113e-05,2.5239300001445031e-04|2.3761000000988020e-04|2.2999600001938347e-04,1.9531679999964524e-03|1.9297540000025037e-03|1.8908449999948118e-03,2.0360659999774100e-03|2.0508199999866861e-03|2.0272189999985812e-03,64|64|64,5.4377493750018546e-04|2.6685281249883008e-05|2.6928078124821564e-05,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,64|64|64,64|64|64,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,5.8660000163968107e-06|5.9549999988917079e-06|5.8100000082106362e-06,1.9979770799999841e-01|2.0035665800000402e-01|1.9561721500000573e-01,7.3578099999949131e-04|1.1265290000004313e-03|1.0104029999951081e-03,9.4099999969898818e-07|1.8540000006339596e-06|1.0219999992955309e-06,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,3.4903504999988400e-02|1.7606369999896287e-03|1.7756139999924869e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,7.8886539999984961e-03|7.8886539999984961e-03|7.8886539999984961e-03,2.2264718399999950e-01|2.2428574799999978e-01|2.1842281300000010e-01,2.1796600000101307e-04|1.9416199999966466e-04|1.9886099999766316e-04,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.5309180999997238e-02|2.4874582999999006e-02|2.4868472000001418e-02,1.2418049999993741e-03|1.1755910000026404e-03|1.1378099999994618e-03,3.5706999998552647e-05|3.8381999999614891e-05|3.6027000000160569e-05,3.0277000000467069e-05|2.7612000000232229e-05|2.9255000001171538e-05,6.6623881000001717e-02|6.4737996000001630e-02|6.4626795999998876e-02,6.6732453000000191e-02|6.4851746999998738e-02|6.4735509000001912e-02,5.9264250999998325e-02|5.7189935000000247e-02|6.3190699999999822e-02,4.0523993600000097e-01|3.7085035799999844e-01|3.6927558300000030e-01,0,1.0,False,,True,Reached max_load_steps=2,0.06,0.04,False,2
