mode,mesh_resolution,build_path,linear_solver_mode,ksp_type,pc_type,block_pc_name,ndof_u,ndof_phi,total_dofs,accepted_state_index,load_value,newton_iteration_within_load,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,contact_quadrature_loop_time,contact_geometry_eval_time,contact_query_time,contact_gap_normal_eval_time,contact_active_filter_time,contact_local_residual_time,contact_local_tangent_uu_time,contact_local_tangent_uphi_time,contact_geometry_eval_call_count,contact_geometry_eval_avg_time,contact_query_avg_time,contact_query_call_count,contact_query_cache_hit_count,contact_query_cache_miss_count,contact_sensitivity_call_count,contact_sensitivity_cache_hit_count,contact_sensitivity_cache_miss_count,contact_sensitivity_time,contact_sensitivity_avg_time,contact_local_tangent_uphi_call_count,contact_local_tangent_uu_call_count,cell_geometry_cache_hit_count,cell_geometry_cache_miss_count,function_cell_dof_cache_hit_count,function_cell_dof_cache_miss_count,vector_subfunction_cache_hit_count,vector_subfunction_cache_miss_count,contact_scatter_to_global_time,phi_form_assembly_time,phi_matrix_extract_time,phi_matrix_convert_time,phi_rhs_assembly_time,phi_rhs_extract_time,phi_matrix_extract_or_convert_time,phi_rhs_extract_or_convert_time,phi_dof_lookup_time,phi_geometry_helper_time,phi_basis_tabulation_time,phi_form_call_count,phi_form_cache_hit_count,phi_form_cache_miss_count,phi_matrix_extract_call_count,phi_matrix_convert_call_count,phi_rhs_extract_call_count,phi_dof_lookup_call_count,phi_basis_tabulation_call_count,phi_residual_form_assembly_time,phi_residual_extract_time,phi_kphiu_form_assembly_time,phi_kphiu_extract_time,phi_kphiu_convert_time,phi_kphiphi_form_assembly_time,phi_kphiphi_extract_time,phi_kphiphi_convert_time,phi_form_time_R_phi,phi_form_time_K_phi_u,phi_form_time_K_phi_phi,phi_extract_time_K_phi_u,phi_convert_time_K_phi_u,phi_extract_time_K_phi_phi,phi_convert_time_K_phi_phi,phi_form_call_count_R_phi,phi_form_call_count_K_phi_u,phi_form_call_count_K_phi_phi,phi_matrix_extract_call_count_K_phi_u,phi_matrix_convert_call_count_K_phi_u,phi_matrix_extract_call_count_K_phi_phi,phi_matrix_convert_call_count_K_phi_phi,phi_scatter_pattern_build_time,phi_scatter_pattern_build_count,dofmap_lookup_time,surface_entity_iteration_time,basis_eval_or_tabulation_time,numpy_temp_allocation_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,reuse_attempted,reuse_failed_stage,reuse_failure_message,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,2,0.02,1,1,3,0.004040188733215321,3.464326148051463e-05,0.008574664147668254,0.2394728890000124,0.007430225999996765,0.03667140000004565,0.19537126299996999,0.03151019199992788,0.031416251000109696,0.01839795299997604,2.815299956182571e-05,2.7833000672217167e-05,0.0003294540002798385,0.001974922998783768,0.002223497000500174,64,0.000490878921876714,0.00028746801562462565,64,0,64,64,0,64,0.011938118999864855,0.00018653310937288836,64,64,384,0,576,0,128,0,6.300000450210064e-06,0.19367378199979157,0.00031056800014539476,0.0009651279999616236,0.009949430999995457,3.136000032100128e-06,0.0012756960001070183,3.136000032100128e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009949430999995457,3.136000032100128e-06,0.14268871899992064,2.8182000050946954e-05,0.0002801719999752095,0.04103563199987548,0.0002823860000944478,0.0006849559999864141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.03149671999983639,0.004985038999961944,0.008457353999460793,0.21581411099998604,0.0002514479999717878,0.0,0.02450992599995061,0.00195238900005279,3.8952000068093184e-05,0.010701792999952886,0.07697245200006364,0.08777707799993095,0.06334592899997915,0.4212709009999571,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,2,0.02,2,1,3,3.4643261480514616e-05,3.1559426103524963e-07,0.00910983110561799,0.24604448700006287,0.008119711000063035,0.04243190399995456,0.19549287200004528,0.037884740999970745,0.037789569000324263,0.022350675000097908,2.8073000407857762e-05,2.4151000388883404e-05,0.0002351250003584937,0.0017773120007404941,0.0019252480000204741,64,0.0005904620156300666,0.0003492292968765298,64,0,64,64,0,64,0.014292336000153227,0.00022331775000239418,64,64,446,0,700,0,159,0,6.253999345062766e-06,0.19134650600005898,0.0003523159999758718,0.0011453040000333203,0.00929689600002348,3.427000024203153e-06,0.0014976200000091922,3.427000024203153e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.00929689600002348,3.427000024203153e-06,0.14152673299997787,0.00012581400005728938,0.0003590190000295479,0.04052287700005763,0.00022650199991858244,0.0007862850000037724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0378720480003949,0.00658716100087986,0.008556009000812992,0.21552063399997223,0.00027878900004907337,0.0,0.02353972799994608,0.0018396780001239676,4.0526000020690844e-05,2.6769999976750114e-05,0.06409187799999927,0.06421715100009351,0.0571641770000042,0.39728352800000266,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,2,0.02,3,1,3,3.155942610337466e-07,2.875692730773067e-09,0.00911199310581116,0.2437546730000122,0.006583578999993733,0.038773708999997325,0.19839738500002113,0.034212257999911344,0.034120729000278516,0.021603413999514487,2.872500033390679e-05,2.3166999881141237e-05,0.00022366900066117523,0.0018413929996086154,0.0019605029998501777,64,0.0005331363906293518,0.00033755334374241386,64,0,64,64,0,64,0.011450556000113465,0.0001789149375017729,64,64,446,0,700,0,159,0,5.912000347052526e-06,0.1953078450000021,0.00010085899998557579,0.0009847960000115563,0.0144833289999724,4.5180000824984745e-06,0.0010856549999971321,4.5180000824984745e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.0144833289999724,4.5180000824984745e-06,0.1395115349999969,4.200900002615526e-05,0.00027340999997704785,0.04131298100003278,5.884999995942053e-05,0.0007113860000345085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.034200812000335645,0.00551053599883744,0.008570574000941633,0.21330500700003086,0.0001948230000152762,0.0,0.024292478999996092,0.0011203279999563165,3.891200003636186e-05,2.6939999997921404e-05,0.06335339299994303,0.0634818329999689,0.05731854599991948,0.3945067879999442,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,3,0.04,1,1,3,0.003486726843316954,2.9072714776764468e-05,0.008338110807988429,0.24486008099984247,0.006551688999934413,0.03895101799992062,0.19935737399998743,0.03356365899992397,0.03345942699968418,0.02105439700039824,2.729900040776556e-05,2.693600038128352e-05,0.0002427640002906628,0.0020010549999369687,0.0021716649999916626,64,0.0005228035468700654,0.0003289749531312225,64,0,64,64,0,64,0.011245873000007123,0.0001757167656251113,64,64,446,0,700,0,159,0,6.039000140845019e-06,0.19806525599994984,8.618100002877327e-05,0.0008716950000007273,0.009527195000032407,1.3720000424655154e-06,0.0009578760000295006,1.3720000424655154e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009527195000032407,1.3720000424655154e-06,0.14845703499986485,3.270100000918319e-05,0.00023465800006761128,0.04008102600005259,5.348000001959008e-05,0.000637036999933116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.03355263399987507,0.005421875001616172,0.008577832001037677,0.2201448819999996,0.00025231099994016404,0.0,0.024358524000035686,0.0017351930000586435,4.1527000007590686e-05,2.8893999910906132e-05,0.06456679300003998,0.0646821479999744,0.06062332199996945,0.4007150620000175,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,3,0.04,2,1,3,2.9072714776759972e-05,2.532955023487046e-07,0.008712481936884096,0.2486534430000802,0.007056070000089676,0.03866622999998981,0.2029311430000007,0.03370915200002855,0.0336193870000443,0.021096619000559258,2.6810999202098174e-05,2.6378999564258265e-05,0.00025659799905497493,0.0019350890008809074,0.0020960989996865464,64,0.0005253029218756922,0.0003296346718837384,64,0,64,64,0,64,0.011479467000071963,0.00017936667187612443,64,64,446,0,700,0,159,0,6.002999271004228e-06,0.20152579299997342,7.5180000067121e-05,0.000826520999908098,0.01141617399991901,4.368000077192846e-06,0.000901700999975219,4.368000077192846e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.01141617399991901,4.368000077192846e-06,0.14980055099999845,2.8774000043085834e-05,0.00019417199996496493,0.04030906800005596,4.6406000024035166e-05,0.0006323489999431331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.03369785999950636,0.005508136999310409,0.008555574998922566,0.2212156780000214,0.0002130770000121629,0.0,0.024549861000082274,0.0010757949999060656,3.865199994379509e-05,2.8332999931990344e-05,0.06478847699997914,0.06491669500007902,0.058132832999945094,0.4019619609999836,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,3,0.04,3,1,3,2.53295502342383e-07,2.207762206504144e-09,0.008716152423108886,0.24372938199996952,0.006945313999949576,0.04196846800005005,0.1948155999999699,0.03694608899991181,0.03684973600002195,0.02323042700015776,2.8444999429666495e-05,2.8352000413178757e-05,0.0002578290001338246,0.001986895999607441,0.0021621800003686076,64,0.000575777125000343,0.000362975421877465,64,0,64,64,0,64,0.012445584000715826,0.00019446225001118478,64,64,446,0,700,0,159,0,6.369999937305693e-06,0.19359915399991223,7.912700004908402e-05,0.0007693329999938214,0.009363118000010218,3.406999894650653e-06,0.0008484600000429054,3.406999894650653e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009363118000010218,3.406999894650653e-06,0.14313162599989937,2.766100010376249e-05,0.0001752059999944322,0.041104410000002645,5.146599994532153e-05,0.0005941269999993892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.03693399400049202,0.005809362999798395,0.008594592000122248,0.21627445100000386,0.00024689999997917766,0.0,0.024819451999974262,0.0018619410000155767,5.56039999537461e-05,3.306100006739143e-05,0.06288524199999301,0.06309202500005995,0.05993035299991334,0.39822567700002764,False,False,False,False,False,False,,,0,0,0,0,0
