attempt_state_index,accepted_state_index,accepted,step,load_value,target_load,attempt_load,accepted_load_before_step,load_increment,converged,backend,build_path,linear_solver_mode,ksp_type,pc_type,block_pc_name,linear_converged,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,contact_quadrature_loop_time,contact_geometry_eval_time,contact_query_time,contact_gap_normal_eval_time,contact_active_filter_time,contact_local_residual_time,contact_local_tangent_uu_time,contact_local_tangent_uphi_time,contact_geometry_eval_call_count,contact_geometry_eval_avg_time,contact_query_avg_time,contact_query_call_count,contact_query_cache_hit_count,contact_query_cache_miss_count,contact_sensitivity_call_count,contact_sensitivity_cache_hit_count,contact_sensitivity_cache_miss_count,contact_sensitivity_time,contact_sensitivity_avg_time,contact_local_tangent_uphi_call_count,contact_local_tangent_uu_call_count,cell_geometry_cache_hit_count,cell_geometry_cache_miss_count,function_cell_dof_cache_hit_count,function_cell_dof_cache_miss_count,vector_subfunction_cache_hit_count,vector_subfunction_cache_miss_count,contact_scatter_to_global_time,phi_form_assembly_time,phi_matrix_extract_or_convert_time,phi_rhs_extract_or_convert_time,dofmap_lookup_time,surface_entity_iteration_time,basis_eval_or_tabulation_time,numpy_temp_allocation_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,load_step_walltime,newton_iterations,residual_norm,increment_norm,active_contact_points,negative_gap_sum,max_penetration,reaction_norm,mesh_resolution,ndof_u,ndof_phi,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,reuse_attempted,reuse_failed_stage,reuse_failure_message,linear_iterations_list,ksp_reason_list,outer_residual_norm_before_linear_list,outer_residual_norm_after_linear_list,relative_linear_reduction_list,assembly_time_list,struct_block_assembly_time_list,contact_block_assembly_time_list,phi_block_assembly_time_list,contact_quadrature_loop_time_list,contact_geometry_eval_time_list,contact_query_time_list,contact_gap_normal_eval_time_list,contact_active_filter_time_list,contact_local_residual_time_list,contact_local_tangent_uu_time_list,contact_local_tangent_uphi_time_list,contact_geometry_eval_call_count_list,contact_geometry_eval_avg_time_list,contact_query_avg_time_list,contact_query_call_count_list,contact_query_cache_hit_count_list,contact_query_cache_miss_count_list,contact_sensitivity_call_count_list,contact_sensitivity_cache_hit_count_list,contact_sensitivity_cache_miss_count_list,contact_sensitivity_time_list,contact_sensitivity_avg_time_list,contact_local_tangent_uphi_call_count_list,contact_local_tangent_uu_call_count_list,cell_geometry_cache_hit_count_list,cell_geometry_cache_miss_count_list,function_cell_dof_cache_hit_count_list,function_cell_dof_cache_miss_count_list,vector_subfunction_cache_hit_count_list,vector_subfunction_cache_miss_count_list,contact_scatter_to_global_time_list,phi_form_assembly_time_list,phi_matrix_extract_or_convert_time_list,phi_rhs_extract_or_convert_time_list,dofmap_lookup_time_list,surface_entity_iteration_time_list,basis_eval_or_tabulation_time_list,numpy_temp_allocation_time_list,block_build_time_list,bc_elimination_time_list,global_matrix_allocation_time_list,global_matrix_fill_time_list,global_rhs_build_time_list,petsc_object_setup_time_list,ksp_setup_time_list,ksp_solve_time_list,linear_solve_time_list,state_update_time_list,newton_step_walltime_list,cutback_level,step_length,cutback_triggered,cutback_reason,terminated_early,termination_reason,requested_final_target_load,final_accepted_load,reached_final_target,output_index
1,1,True,1,0.0,0.0,0.0,0.0,0.0,True,petsc_block,optimized,krylov,gmres,ilu,global_ilu,True,0,0,0.0,1.0127290217924556e-15,0.0,0.25612755700000633,0.009789380000000847,0.045310222000004785,0.2010279550000007,0.03300000499999811,0.032889837000027455,0.0,3.0075999994494396e-05,2.3057999996467515e-05,0.0001524039999836191,0.0011567669999976715,0.0012812299999964694,64,0.000513903703125429,0.0,0,0,0,0,0,0,0.0,0.0,40,40,0,0,0,0,0,0,3.6260000015886362e-06,0.19198312299999998,0.006031663999998216,1.683000000696211e-06,0.0,0.03298883200000802,0.0,0.007467710000000238,0.22696813900000024,0.00024304300000466128,0.0,0.0234695989999949,0.008238046999991866,0.0003349039999989145,0.0,0.0,0.0,0.0,0.0,0.2928145350000051,0,1.0127290217924556e-15,0.0,40,3.382482780750141e-17,1.1780167672049484e-16,7.441601948699272e-18,4x4x4,375,729,56088,15195,7544,7938,35937,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,False,,True,Reached max_load_steps=2,0.06,0.04,False,0
2,2,True,2,0.02,0.02,0.02,0.0,0.02,True,petsc_block,optimized,krylov,gmres,ilu,global_ilu,True,3,3,3.155943413165834e-07,2.875654211367328e-09,0.009111868734308711,0.06882897299998803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07601256299999903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06361268999999936,0.05938924699999859,0.22171204200000005,0.898914769000001,3,2.875654211367328e-09,1.1577932904911703e-07,64,0.02000000000015158,0.020000000000184124,0.004040129892084249,4x4x4,375,729,0,0,0,0,0,False,False,False,False,False,False,,,1|1|1,3|3|3,4.0401887332153210e-03|3.4643261480514616e-05|3.1559434131658339e-07,3.4643261480514629e-05|3.1559438196266257e-07|2.8756542113673279e-09,8.5746641476682536e-03|9.1098345962654578e-03|9.1118687343087115e-03,2.6177293800000001e-01|7.5534672000003411e-02|6.8828972999988025e-02,7.3050179999967213e-03|9.4863810000020976e-03|6.7000299999975255e-03,3.5706199000003380e-02|6.6749530000009827e-03|6.0852039999943486e-03,2.1876172099999991e-01|5.9373338000000331e-02|5.6043738999996151e-02,2.9880169999998429e-02|1.9301479999995763e-03|1.7107789999997181e-03,2.9778855999992970e-02|1.8591260000277998e-03|1.6513129999822240e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.8814999993187485e-05|1.7566999993334775e-05|1.5113999992877325e-05,4.1297000002771256e-05|2.4918000001150631e-05|2.1914999990713113e-05,3.0898600002160492e-04|2.4234400000011647e-04|2.2394099996603245e-04,2.6703099999778601e-03|1.9618130000012002e-03|1.8270180000428127e-03,2.4110539999853131e-03|2.1071680000446236e-03|2.0156979999583768e-03,64|64|64,4.6529462499989016e-04|2.9048843750434372e-05|2.5801765624722250e-05,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,64|64|64,64|64|64,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,6.8409999940399757e-06|6.1809999536421856e-06|5.6379999833211514e-06,2.1448109099999613e-01|5.2075413999993714e-02|5.0471621999989225e-02,1.3871160000036298e-03|1.0305910000028007e-03|1.1532000000045173e-03,4.0879999971821235e-06|4.0380000001505323e-06|1.4230000004999965e-06,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.9869749999960504e-02|1.9181449999834399e-03|1.7015600000220843e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,7.4677100000002383e-03|7.4677100000002383e-03|7.4677100000002383e-03,2.3397283599999952e-01|8.1927833000001726e-02|7.6012562999999034e-02,3.9781099999913749e-04|3.0301399999643763e-04|3.0464700000010225e-04,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.4206622999997762e-02|2.6838219000005381e-02|2.3644945999997447e-02,2.1646940000081827e-03|1.7117710000036368e-03|1.8444899999963127e-03,4.2909999997675641e-05|3.9673999999934040e-05|3.8422000002924506e-05,7.2565000003521618e-05|2.6740000002689612e-05|2.6259000001971344e-05,8.0031644999998264e-02|6.5146179000002746e-02|6.3503296000000375e-02,8.0193185999995364e-02|6.5264529000003790e-02|6.3612689999999361e-02,7.1109909000000471e-02|5.8609783999997944e-02|5.9389246999998591e-02,4.4426003299999905e-01|2.3266234199999758e-01|2.2171204200000005e-01,0,1.0,False,,True,Reached max_load_steps=2,0.06,0.04,False,1
3,3,True,3,0.04,0.04,0.04,0.02,0.02,True,petsc_block,optimized,krylov,gmres,ilu,global_ilu,True,3,3,2.53295570111615e-07,2.207718263979554e-09,0.008715976607907986,0.0683698470000067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07562119500000364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06429457100000491,0.06385956000000448,0.22779381699999846,0.853342399000006,3,2.207718263979554e-09,1.0148225061018582e-07,64,0.03999999999879748,0.040000000000899025,0.007481773054700518,4x4x4,375,729,0,0,0,0,0,False,False,False,False,False,False,,,1|1|1,3|3|3,3.4867268433150791e-03|2.9072714776422761e-05|2.5329557011161501e-07,2.9072714776427258e-05|2.5329559350084272e-07|2.2077182639795539e-09,8.3381108078961989e-03|8.7124850723008171e-03|8.7159766079079864e-03,2.4243896899999839e-01|6.7734115000000372e-02|6.8369847000006700e-02,7.0466849999988312e-03|7.2218339999992054e-03|7.4418029999989699e-03,3.9283687000001066e-02|6.1868129999993471e-03|6.5960140000029810e-03,1.9610859699999850e-01|5.4325468000001820e-02|5.4332030000004750e-02,3.4795671999994227e-02|1.7731949999983954e-03|1.8398500000031959e-03,3.4690770999972642e-02|1.6994430000067950e-03|1.7765889999807882e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,3.0437000013705529e-05|1.5488999991930541e-05|1.5259000022638247e-05,2.1186000012107797e-05|2.2267000034048579e-05|2.9027999964625906e-05,2.3146700001319687e-04|2.2363300000449726e-04|2.4718700000647686e-04,1.9148810000189087e-03|1.8724449999893977e-03|2.0266459999760400e-03,2.0153079999971624e-03|2.0025429999961375e-03|2.0913969999938331e-03,64|64|64,5.4204329687457253e-04|2.6553796875106173e-05|2.7759203124699816e-05,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,64|64|64,64|64|64,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,5.7749999768930138e-06|5.7649999973818922e-06|6.2600000063639527e-06,1.9432572200000919e-01|5.0398276000002795e-02|5.0366669000005970e-02,8.6715799999836918e-04|9.7396600000365652e-04|7.4887599999584609e-04,1.6430000044920234e-06|1.9539999982498557e-06|2.2239999992734738e-06,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,3.4785261000038759e-02|1.7634929999914561e-03|1.8292039999820986e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,7.4677100000002383e-03|7.4677100000002383e-03|7.4677100000002383e-03,2.1791682899999643e-01|7.5792583000001912e-02|7.5621195000003638e-02,2.8550199999699544e-04|2.2033999999848675e-04|2.2497999999870899e-04,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.5406090000004156e-02|2.4820286000000635e-02|2.5134432999998069e-02,1.8377550000039378e-03|1.3990969999966296e-03|1.4838160000039124e-03,4.1567000003794874e-05|3.7468999998679919e-05|3.4814999999355223e-05,2.9285000003653749e-05|2.7781999996534523e-05|2.7502000001788929e-05,6.7113624999997512e-02|6.4304850000006297e-02|6.4188252999997530e-02,6.7222829000002093e-02|6.4418211999999642e-02|6.4294571000004908e-02,6.0117080000004819e-02|5.9917665000000397e-02|6.3859560000004478e-02,4.0175045699999856e-01|2.2352851200000146e-01|2.2779381699999846e-01,0,1.0,False,,True,Reached max_load_steps=2,0.06,0.04,False,2
