mode,mesh_resolution,build_path,linear_solver_mode,ksp_type,pc_type,block_pc_name,ndof_u,ndof_phi,total_dofs,accepted_state_index,load_value,newton_iteration_within_load,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,contact_quadrature_loop_time,contact_geometry_eval_time,contact_query_time,contact_gap_normal_eval_time,contact_active_filter_time,contact_local_residual_time,contact_local_tangent_uu_time,contact_local_tangent_uphi_time,contact_geometry_eval_call_count,contact_geometry_eval_avg_time,contact_query_avg_time,contact_query_call_count,contact_query_cache_hit_count,contact_query_cache_miss_count,contact_sensitivity_call_count,contact_sensitivity_cache_hit_count,contact_sensitivity_cache_miss_count,contact_sensitivity_time,contact_sensitivity_avg_time,contact_local_tangent_uphi_call_count,contact_local_tangent_uu_call_count,cell_geometry_cache_hit_count,cell_geometry_cache_miss_count,function_cell_dof_cache_hit_count,function_cell_dof_cache_miss_count,vector_subfunction_cache_hit_count,vector_subfunction_cache_miss_count,contact_scatter_to_global_time,phi_form_assembly_time,phi_matrix_extract_time,phi_matrix_convert_time,phi_rhs_assembly_time,phi_rhs_extract_time,phi_matrix_extract_or_convert_time,phi_rhs_extract_or_convert_time,phi_dof_lookup_time,phi_geometry_helper_time,phi_basis_tabulation_time,phi_form_call_count,phi_form_cache_hit_count,phi_form_cache_miss_count,phi_matrix_extract_call_count,phi_matrix_convert_call_count,phi_rhs_extract_call_count,phi_dof_lookup_call_count,phi_basis_tabulation_call_count,phi_residual_form_assembly_time,phi_residual_extract_time,phi_kphiu_form_assembly_time,phi_kphiu_extract_time,phi_kphiu_convert_time,phi_kphiphi_form_assembly_time,phi_kphiphi_extract_time,phi_kphiphi_convert_time,dofmap_lookup_time,surface_entity_iteration_time,basis_eval_or_tabulation_time,numpy_temp_allocation_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,reuse_attempted,reuse_failed_stage,reuse_failure_message,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,2,0.02,1,2,3,0.004040188733215321,3.464326321892378e-05,0.008574664577947448,0.2334906640000014,0.00741676100000177,0.034637457000002314,0.19143644599999732,0.029960380999995095,0.02985543600003382,0.017223605999916458,3.353200000333345e-05,2.5555000021881824e-05,0.00022564200006058854,0.001895183000087286,0.0020105909999870164,64,0.0004664911875005284,0.00026911884374869466,64,0,64,64,0,64,0.011600044000019238,0.0001812506875003006,64,64,384,0,576,0,128,0,5.781999973919483e-06,0.18824784599998168,0.00037282400001004135,0.002381236999994485,0.009347658999999453,1.873999991630626e-06,0.0027540610000045262,1.873999991630626e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009347658999999453,1.873999991630626e-06,0.1382671279999954,2.6719000004504778e-05,0.0009305439999991449,0.040633058999986815,0.00034610500000553657,0.00145069299999534,0.0,0.02995073999996123,0.00493324200019174,0.00876060800000289,0.21198886799999173,0.00024053900000353678,0.0,0.024350829999988832,0.0016191269999978886,4.038500000547174e-05,0.2711282030000035,0.03435282600000278,0.30561496900000407,0.06190016999998704,0.6311578119999979,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,2,0.02,2,2,3,3.464326321892377e-05,3.15594283439447e-07,0.009109831295195502,0.25278789899998344,0.008015256999996723,0.04699784899999315,0.19777479299999356,0.0385981669999893,0.038494543999973985,0.02243812199999695,3.615700001091682e-05,5.2688000010903124e-05,0.0005302380000102858,0.003700144000035266,0.0034781410000164215,64,0.0006014772499995935,0.00035059565624995237,64,0,64,64,0,64,0.014925980999976218,0.0002332184531246284,64,64,446,0,700,0,159,0,7.262999972112993e-06,0.1918844859999922,0.0007124170000025742,0.002256044000006341,0.010337784000000738,3.145999997400395e-06,0.002968461000008915,3.145999997400395e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.010337784000000738,3.145999997400395e-06,0.14149880200000098,0.0002200999999928399,0.0009729930000048626,0.04004789999999048,0.0004923170000097343,0.0012830510000014783,0.0,0.03858702499999822,0.006482547999951294,0.008868156999952248,0.2172018029999947,0.0002464989999992895,0.0,0.02406839000001071,0.001721658999997544,4.298000000346747e-05,0.24854051100000163,0.03344259899999713,0.2828866449999907,0.060110964000003264,0.6261049059999948,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,2,0.02,3,2,3,3.15594283437944e-07,2.875692980533647e-09,0.009111993250343842,0.2354755050000108,0.006934834000006163,0.038072815999996124,0.1904678550000085,0.03346203399999581,0.03336456099998486,0.02100932100006503,3.4370999941302216e-05,2.3655999967786556e-05,0.00022752400001024853,0.0018288750000436949,0.00194937799994932,64,0.0005213212656247634,0.0003282706406260161,64,0,64,64,0,64,0.011337477000012086,0.00017714807812518885,64,64,446,0,700,0,159,0,5.4950000247799835e-06,0.18793742099998667,7.594100000574144e-05,0.002109259999997448,0.00938267399999404,2.3449999986269177e-06,0.0021852010000031896,2.3449999986269177e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.00938267399999404,2.3449999986269177e-06,0.13778702699998746,2.8022000009286785e-05,0.0008668650000061007,0.04076772000000517,4.791899999645466e-05,0.0012423949999913475,0.0,0.033451475999967784,0.0054377839998949185,0.008921924000006243,0.21198968000000207,0.0002378739999926438,0.0,0.025351791999995044,0.0011225219999886349,3.694899999118206e-05,0.23308751499999403,0.033283492999999,0.2666333370000018,0.05778524100000482,0.5913354529999992,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,3,0.04,1,3,3,0.003486726843317205,2.9072714776779962e-05,0.008338110807992271,0.2370135330000096,0.006743468000010466,0.03839064000000292,0.19187942499999622,0.0335668899999888,0.033470981000050415,0.02098997200006636,3.36229999788884e-05,2.3257999941961316e-05,0.0002172770000044011,0.0018247919999936357,0.001982670000018061,64,0.0005229840781257877,0.00032796831250103686,64,0,64,64,0,64,0.011500338999937298,0.0001796927968740203,64,64,446,0,700,0,159,0,5.553000050895207e-06,0.18919381199997076,8.28740000002881e-05,0.0022593290000116895,0.009096860999989076,1.4719999938961337e-06,0.0023422030000119776,1.4719999938961337e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009096860999989076,1.4719999938961337e-06,0.140203108999998,3.372300000137329e-05,0.0009459219999996549,0.03989384199998369,4.915099999891481e-05,0.0013134070000120346,0.0,0.033557001000062314,0.005486644999947998,0.008847824000042692,0.21176220600000306,0.00019797900000639856,0.0,0.02385211800000775,0.0011337930000081542,4.037499999753891e-05,0.23052509999999415,0.03369004099999984,0.2643041270000026,0.058252992000007,0.5887866750000086,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,3,0.04,2,2,3,2.9072714776775463e-05,2.5329555169015237e-07,0.008712483634053183,0.23743965799999955,0.00790446999999972,0.04072487199999841,0.18881031600000142,0.035732386999995924,0.03562966500007292,0.022436940999909893,3.576700004259692e-05,2.6160999894386805e-05,0.000348387000059347,0.0018650890000628806,0.0020607810000115023,64,0.0005567135156261394,0.0003505772031235921,64,0,64,64,0,64,0.012051058999986708,0.0001882977968747923,64,64,446,0,700,0,159,0,5.829000002677276e-06,0.18619750599999918,7.61520000054361e-05,0.002208514999992417,0.009055122999996001,1.7739999975674436e-06,0.002284666999997853,1.7739999975674436e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009055122999996001,1.7739999975674436e-06,0.13686261099999797,2.8834000005417693e-05,0.0009181709999950272,0.04027977200000521,4.73180000000184e-05,0.0012903439999973898,0.0,0.03572167000007198,0.005711991000154626,0.008923262000109844,0.20898203500000534,0.00019801899999549732,0.0,0.023672102000006134,0.001540400999999747,4.079600000750361e-05,0.22695414500000766,0.03436741299999824,0.2615433710000019,0.05794937000000289,0.5867320380000081,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,3,0.04,3,2,3,2.5329555168383054e-07,2.207762855737312e-09,0.008716153288365258,0.23624175499999467,0.007138070999999968,0.03790112800000145,0.19120255599999325,0.033216269000007514,0.03311818599998162,0.02061386500002982,3.381199995544648e-05,2.504200003272672e-05,0.00023042199991607504,0.0018556619999401391,0.0019560249999273083,64,0.0005174716562497128,0.0003220916406254659,64,0,64,64,0,64,0.01143352200003278,0.0001786487812505122,64,64,446,0,700,0,159,0,5.474000019489722e-06,0.18863136500002042,7.349599998462963e-05,0.002142673000008699,0.009138601000003632,2.885000000674154e-06,0.0022161689999933287,2.885000000674154e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009138601000003632,2.885000000674154e-06,0.1371096800000089,2.773099998876205e-05,0.0009427570000042351,0.0423830840000079,4.5764999995867583e-05,0.001199916000004464,0.0,0.03320615699993823,0.005374618999965719,0.008856353000084027,0.21171252300000276,0.0002446060000096395,0.0,0.02400248700000418,0.0015535550000009835,4.007399999750305e-05,0.22463162700000794,0.03263647800000058,0.25749644000001126,0.057169995999998946,0.5810673509999873,False,False,False,False,False,False,,,0,0,0,0,0
