case,phi_block_assembly_time,newton_step_walltime,phi_form_time_K_phi_u,phi_form_time_K_phi_phi,phi_convert_time_K_phi_phi,total_linear_iterations,ksp_setup_time,ksp_solve_time
work_4x4_gmres,1.2047022250008013,2.5176559309993536,0.0,0.0,0.0,,0.0002638110004227201,0.4172148880002169
work_5x5_gmres,0.32870999099986875,1.0750709260000804,0.0,0.0,0.0,1,7.421899999826564e-05,0.41684297699976014
audit_4x4_gmres,1.198233070000697,2.454189841999323,0.8758059159990808,0.24931172199967477,0.0037924359999124135,,0.0002223940000476432,0.4076398550009799
audit_5x5_gmres,0.33877732299970376,1.0432329159998517,0.2311066620004567,0.06634163099988655,0.012178925999705825,1,8.802399997875909e-05,0.38463849700019637
schur_4x4,1.2050420669997948,3.676252315000056,0.0,0.0,0.0,,1.5375350509998498,0.2065666219996274
schur_5x5,0.3788931139997658,2.3216966139998476,0.0,0.0,0.0,2,1.4492626349997408,0.1710314809997726
