attempt_state_index,accepted_state_index,accepted,step,load_value,target_load,attempt_load,accepted_load_before_step,load_increment,converged,backend,build_path,linear_solver_mode,ksp_type,pc_type,block_pc_name,linear_converged,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,contact_quadrature_loop_time,contact_geometry_eval_time,contact_query_time,contact_gap_normal_eval_time,contact_active_filter_time,contact_local_residual_time,contact_local_tangent_uu_time,contact_local_tangent_uphi_time,contact_geometry_eval_call_count,contact_geometry_eval_avg_time,contact_query_avg_time,contact_query_call_count,contact_query_cache_hit_count,contact_query_cache_miss_count,contact_sensitivity_call_count,contact_sensitivity_cache_hit_count,contact_sensitivity_cache_miss_count,contact_sensitivity_time,contact_sensitivity_avg_time,contact_local_tangent_uphi_call_count,contact_local_tangent_uu_call_count,cell_geometry_cache_hit_count,cell_geometry_cache_miss_count,function_cell_dof_cache_hit_count,function_cell_dof_cache_miss_count,vector_subfunction_cache_hit_count,vector_subfunction_cache_miss_count,contact_scatter_to_global_time,phi_form_assembly_time,phi_matrix_extract_or_convert_time,phi_rhs_extract_or_convert_time,dofmap_lookup_time,surface_entity_iteration_time,basis_eval_or_tabulation_time,numpy_temp_allocation_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,load_step_walltime,newton_iterations,residual_norm,increment_norm,active_contact_points,negative_gap_sum,max_penetration,reaction_norm,mesh_resolution,ndof_u,ndof_phi,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,reuse_attempted,reuse_failed_stage,reuse_failure_message,linear_iterations_list,ksp_reason_list,outer_residual_norm_before_linear_list,outer_residual_norm_after_linear_list,relative_linear_reduction_list,assembly_time_list,struct_block_assembly_time_list,contact_block_assembly_time_list,phi_block_assembly_time_list,contact_quadrature_loop_time_list,contact_geometry_eval_time_list,contact_query_time_list,contact_gap_normal_eval_time_list,contact_active_filter_time_list,contact_local_residual_time_list,contact_local_tangent_uu_time_list,contact_local_tangent_uphi_time_list,contact_geometry_eval_call_count_list,contact_geometry_eval_avg_time_list,contact_query_avg_time_list,contact_query_call_count_list,contact_query_cache_hit_count_list,contact_query_cache_miss_count_list,contact_sensitivity_call_count_list,contact_sensitivity_cache_hit_count_list,contact_sensitivity_cache_miss_count_list,contact_sensitivity_time_list,contact_sensitivity_avg_time_list,contact_local_tangent_uphi_call_count_list,contact_local_tangent_uu_call_count_list,cell_geometry_cache_hit_count_list,cell_geometry_cache_miss_count_list,function_cell_dof_cache_hit_count_list,function_cell_dof_cache_miss_count_list,vector_subfunction_cache_hit_count_list,vector_subfunction_cache_miss_count_list,contact_scatter_to_global_time_list,phi_form_assembly_time_list,phi_matrix_extract_or_convert_time_list,phi_rhs_extract_or_convert_time_list,dofmap_lookup_time_list,surface_entity_iteration_time_list,basis_eval_or_tabulation_time_list,numpy_temp_allocation_time_list,block_build_time_list,bc_elimination_time_list,global_matrix_allocation_time_list,global_matrix_fill_time_list,global_rhs_build_time_list,petsc_object_setup_time_list,ksp_setup_time_list,ksp_solve_time_list,linear_solve_time_list,state_update_time_list,newton_step_walltime_list,cutback_level,step_length,cutback_triggered,cutback_reason,terminated_early,termination_reason,requested_final_target_load,final_accepted_load,reached_final_target,output_index
1,1,True,1,0.0,0.0,0.0,0.0,0.0,True,petsc_block,optimized,krylov,gmres,ilu,global_ilu,True,0,0,0.0,1.0127290217924556e-15,0.0,0.3018616059999957,0.014178465000000529,0.04968770499999664,0.2379954359999985,0.03569877300000002,0.035580571999965116,0.0,2.9116999968437085e-05,3.115599999858887e-05,0.0001601629999683496,0.0013548090000128354,0.0016198879999791416,64,0.0005559464374994549,0.0,0,0,0,0,0,0,0.0,0.0,40,40,0,0,0,0,0,0,4.358000012416596e-06,0.22765132900000395,0.007045972000007339,1.8439999962538423e-06,0.0,0.03568626700003108,0.0,0.008371824000001027,0.2638775319999951,0.00022981800000110297,0.0,0.025588610000006895,0.009859165000001724,0.0003683070000022326,0.0,0.0,0.0,0.0,0.0,0.34360451199999886,0,1.0127290217924556e-15,0.0,40,3.382482780750141e-17,1.1780167672049484e-16,7.441601948699272e-18,4x4x4,375,729,56088,15195,7544,7938,35937,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,False,,True,Reached max_load_steps=2,0.06,0.04,False,0
2,2,True,2,0.02,0.02,0.02,0.0,0.02,True,petsc_block,optimized,krylov,gmres,ilu,global_ilu,True,3,3,3.155942610337466e-07,2.875692730773067e-09,0.00911199310581116,0.2289387430000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23543486100000166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07058717399999637,0.06327958600000727,0.39678744800000487,1.3029039899999972,3,2.875692730773067e-09,1.1530418609470772e-07,64,0.02000000000004424,0.020000000000082094,0.004040129892040644,4x4x4,375,729,0,0,0,0,0,False,False,False,False,False,False,,,1|1|1,3|3|3,4.0401887332153210e-03|3.4643261480514616e-05|3.1559426103374662e-07,3.4643261480514629e-05|3.1559426103524963e-07|2.8756927307730669e-09,8.5746641476682536e-03|9.1098311056179906e-03|9.1119931058111607e-03,2.6583463200000779e-01|2.6234865400000729e-01|2.2893874300000050e-01,7.9433730000033620e-03|1.0786291000002279e-02|9.5797409999960337e-03,3.9764472000001660e-02|7.9262510000006614e-03|7.3286780000003660e-03,2.1812678700000276e-01|2.4363611200000435e-01|2.1203032400000410e-01,3.4508506000001660e-02|2.3038040000002979e-03|1.9255799999982059e-03,3.4384973000015862e-02|2.2085959999742499e-03|1.8556239999938384e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,3.0319999950734200e-05|3.5539000016626687e-05|1.4839999991522745e-05,3.6723000000904449e-05|3.6281999989284941e-05|3.5033999985500941e-05,2.5643899999749920e-04|3.0930799999140390e-04|2.7350499998846090e-04,2.1048179999922922e-03|2.3806770000120991e-03|2.1997080000275560e-03,2.2773710000549841e-03|2.4345820000135632e-03|2.3501960000302802e-03,64|64|64,5.3726520312524784e-04|3.4509312499597655e-05|2.8994124999903725e-05,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,64|64|64,64|64|64,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,6.2390000152845460e-06|6.8259999821407291e-06|6.5569999563308556e-06,2.1411260400000742e-01|2.3875884099999922e-01|2.0896292900000901e-01,1.5897130000084303e-03|1.4391209999971011e-03|1.5739219999915122e-03,3.4660000025610316e-06|4.2879999995193430e-06|1.7830000018648207e-06,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,3.4494902999981036e-02|2.2922710000372604e-03|1.9140620000186459e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,8.3718240000010269e-03|8.3718240000010269e-03|8.3718240000010269e-03,2.3965629199999938e-01|2.6544808100000239e-01|2.3543486100000166e-01,2.4660000000409354e-04|2.2168299999947294e-04|2.4090899999862359e-04,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.5002538000002517e-02|2.6371707999999217e-02|2.5657337999987817e-02,2.1725489999937508e-03|1.5062380000046005e-03|2.1872559999991381e-03,3.4202999998456107e-05|2.8412999995452992e-05|4.1417000005594673e-05,7.7244000003418023e-05|2.8042000003836165e-05|3.1809000006433052e-05,8.8585407000003613e-02|7.2113057999999342e-02|7.0449667999994858e-02,8.8760474000004308e-02|7.2226960999998369e-02|7.0587173999996367e-02,8.4024700999997037e-02|6.4587927000005152e-02|6.3279586000007271e-02,4.7139789599999915e-01|4.3267442599999839e-01|3.9678744800000487e-01,0,1.0,False,,True,Reached max_load_steps=2,0.06,0.04,False,1
3,3,True,3,0.04,0.04,0.04,0.02,0.02,True,petsc_block,optimized,krylov,gmres,ilu,global_ilu,True,3,3,2.53295502342383e-07,2.207762206504144e-09,0.008716152423108886,0.22519605200001536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22915685099999905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999961299999313,0.06871533100000704,0.3987549059999935,1.2056291389999956,3,2.207762206504144e-09,1.0122416849607581e-07,64,0.03999999999866171,0.0400000000007671,0.007481773054649275,4x4x4,375,729,0,0,0,0,0,False,False,False,False,False,False,,,1|1|1,3|3|3,3.4867268433169539e-03|2.9072714776759972e-05|2.5329550234238301e-07,2.9072714776764468e-05|2.5329550234870458e-07|2.2077622065041440e-09,8.3381108079884289e-03|8.7124819368840957e-03|8.7161524231088860e-03,2.5448461800000644e-01|2.1983828499999447e-01|2.2519605200001536e-01,7.2157070000002932e-03|8.0431110000063200e-03|9.7108519999977716e-03,4.2420612000000801e-02|6.4128709999948796e-03|1.0186139000012417e-02,2.0484829900000534e-01|2.0538230299999327e-01|2.0529906100000517e-01,3.7724681000000260e-02|1.7943240000022342e-03|3.7616839999969898e-03,3.7605688999960307e-02|1.7294350000440772e-03|3.6244059999006595e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.8843999970717960e-05|1.4818000011018739e-05|2.6477000034219600e-05,2.6376999983312999e-05|2.5297999954432271e-05|4.1319000004591544e-05,2.4161899995078784e-04|2.4828900004081333e-04|3.3266400006937147e-04,1.9515280000632629e-03|1.9048880000553936e-03|2.6508930000233022e-03,2.1096040000259109e-03|2.1002029999550587e-03|2.8828269999934264e-03,64|64|64,5.8758889062437980e-04|2.7022421875688707e-05|5.6631343748447804e-05,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,64|64|64,64|64|64,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,5.9119999633594489e-06|5.9419999871579421e-06|6.6449999849282904e-06,2.0297813599998449e-01|2.0150821399998620e-01|2.0211045399997829e-01,1.3157519999964506e-03|1.2773310000113725e-03|1.5553620000048340e-03,5.7409999953961233e-06|5.1890000065668573e-06|2.5239999956738757e-06,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,3.7711309999949094e-02|1.7850940000698756e-03|3.7447809999520132e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,8.3718240000010269e-03|8.3718240000010269e-03|8.3718240000010269e-03,2.2734662999999955e-01|2.2695332600000029e-01|2.2915685099999905e-01,3.1146000000603635e-04|2.0558300001027874e-04|2.4709999999572574e-04,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.5265267999998287e-02|2.5341967999992221e-02|2.6061136999999235e-02,2.5824330000006057e-03|1.3189079999875730e-03|2.4426829999981692e-03,4.5385000007058807e-05|3.5306000000900895e-05|3.7240000011706798e-05,3.3251999994377002e-05|3.3352000002651039e-05|3.4553999995523554e-05,6.9702335000002336e-02|6.8654617000007079e-02|6.9829727000012554e-02,6.9842996999994966e-02|6.8805498000003240e-02|6.9999612999993133e-02,6.2688084999990679e-02|6.3574868000003448e-02|6.8715331000007041e-02,4.2044073699999274e-01|3.8449088500000528e-01|3.9875490599999353e-01,0,1.0,False,,True,Reached max_load_steps=2,0.06,0.04,False,2
