attempt_state_index,accepted_state_index,accepted,step,load_value,target_load,attempt_load,accepted_load_before_step,load_increment,converged,outer_iterations,active_contact_points,negative_gap_sum,max_penetration,reaction_norm,du_norm,dphi_norm,cutback_level,cutback_triggered,cutback_reason,min_increment_reached,restore_u_diff_norm,restore_phi_diff_norm,terminated_early,termination_reason,requested_final_target_load,final_accepted_load,reached_final_target,used_contact_tangent_uu,output_index
1,1,True,1,0.0,0.0,0.0,0.0,0.0,True,2,8,3.596741472147831e-18,2.85271299021229e-17,1.2697478269468207e-18,0.0,0.0,0,False,,False,0.0,0.0,False,completed_schedule,0.06,0.06,True,True,0
2,2,True,2,0.02,0.02,0.02,0.0,0.02,True,4,36,0.02000382989841589,0.02000390119709926,0.005234801929924176,5.167080119921539e-14,0.0,0,False,,False,0.0,0.0,False,completed_schedule,0.06,0.06,True,True,1
3,3,True,3,0.04,0.04,0.04,0.02,0.02,True,4,36,0.040014392801986744,0.04001469499458675,0.009874995378484118,2.9286495917716213e-13,0.0,0,False,,False,0.0,0.0,False,completed_schedule,0.06,0.06,True,True,2
4,4,True,4,0.06,0.06,0.06,0.04,0.019999999999999997,True,4,36,0.06003029868803616,0.06003101770134515,0.014005138706377818,6.759072565666587e-13,0.0,0,False,,False,0.0,0.0,False,completed_schedule,0.06,0.06,True,True,3
