mode,mesh_resolution,ndof_u,ndof_phi,linear_solver_mode,ksp_type,pc_type,block_pc_name,max_load_steps,accepted_nonzero_step_count,final_accepted_load,total_newton_iterations,total_linear_iterations,avg_linear_iterations_per_newton,total_walltime,total_assembly_time,total_block_build_time,total_linear_solve_time,total_state_update_time,total_newton_step_walltime,final_residual_norm,final_reaction_norm,final_max_penetration,ksp_reason_histogram
baseline,4x4x4,375,729,krylov,gmres,ilu,global_ilu,2,2,0.04,6,6,1.0,317.86349659600006,2.0856991449998077,266.79834911500006,0.43467364000002817,1.8062633459998096,271.12722043100007,2.2077622075702553e-09,0.007481773054649275,0.0400000000007671,"{""0"": 1, ""3"": 2}"
baseline,4x4x4,375,729,krylov,gmres,fieldsplit,fieldsplit_multiplicative_ilu,2,2,0.04,6,12,2.0,317.62140495000006,2.3881251179998344,265.7490007319999,0.27146399199989446,1.93828524200012,270.34901493300026,2.207763212531726e-09,0.007481773054649273,0.04000000000076711,"{""0"": 1, ""3"": 2}"
baseline,4x4x4,375,729,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,2,2,0.04,6,13,2.1666666666666665,343.34826114099997,2.0950679430000037,288.5330534510001,1.6920451380001396,1.861030380999864,294.18333915799985,2.207762853477199e-09,0.007481773054649274,0.0400000000007671,"{""0"": 1, ""3"": 2}"
