mode,mesh_resolution,build_path,ndof_u,ndof_phi,total_dofs,linear_solver_mode,ksp_type,pc_type,block_pc_name,accepted_state_index,load_value,newton_iteration_within_load,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi
baseline,4x4x4,current,375,729,1104,krylov,gmres,ilu,global_ilu,2,0.02,1,1,3,0.004040188733215321,3.464326148051463e-05,0.008574664147668254,0.2707397730000025,0.006943388000003381,0.2524590989999993,0.21053402100000085,46.461392954000004,0.0002764050000010343,46.25616220300001,46.25616220300001,0.0017941040000053476,0.0,0.02527734999999609,0.06761894500000665,0.09300997600000471,0.5295930329999976,47.35495229199999,False,False,False,False,False,0,0,0,0,0
baseline,4x4x4,current,375,729,1104,krylov,gmres,ilu,global_ilu,2,0.02,2,1,3,3.4643261480514616e-05,3.1559426103524963e-07,0.00910983110561799,0.6035093050000029,0.008112762999999745,0.5842744090000025,0.20571284500000786,46.841774508000015,0.000299208000001272,46.63386512699999,46.63386512699999,0.008931101000001718,0.0,2.8452999998762607e-05,0.06886183000000301,0.0691062759999852,0.2508015149999778,47.765726892,False,False,False,False,False,0,0,0,0,0
baseline,4x4x4,current,375,729,1104,krylov,gmres,ilu,global_ilu,2,0.02,3,1,3,3.155942610337466e-07,2.875692730773067e-09,0.00911199310581116,0.290595049999979,0.007317555999975411,0.27153747500000236,0.21674108600001318,58.85478519899999,0.00027849900001797323,58.64357384099998,58.64357384099998,0.0019431309999902169,0.0,2.807199999210752e-05,0.06899000699999647,0.06920863399997756,0.25465392399999587,59.46984604100001,False,False,False,False,False,0,0,0,0,0
baseline,4x4x4,current,375,729,1104,krylov,gmres,ilu,global_ilu,3,0.04,1,1,3,0.003486726843316954,2.907271477676495e-05,0.008338110807988566,0.29571405300001175,0.007066970000010997,0.2771993979999934,0.20626640300002919,50.935302603,0.0003235430000074757,50.73372238499999,50.73372238499999,0.0017883329999790476,0.0,2.7261000013822922e-05,0.07060230199999751,0.07075404500000104,0.26073823299998367,51.56276678599997,False,False,False,False,False,0,0,0,0,0
baseline,4x4x4,current,375,729,1104,krylov,gmres,ilu,global_ilu,3,0.04,2,1,3,2.9072714776760453e-05,2.532955023467688e-07,0.008712481936817366,0.2986566199999743,0.007154963999994379,0.2808702429999812,0.20960685900001863,47.491318457000034,0.0003073219999691901,47.28622987,47.28622987,0.0017564629999924364,0.0,2.657999999655658e-05,0.07175840799999378,0.07196875900001487,0.25734429300001693,48.11984564900001,False,False,False,False,False,0,0,0,0,0
baseline,4x4x4,current,375,729,1104,krylov,gmres,ilu,global_ilu,3,0.04,3,1,3,2.532955023404473e-07,2.2077622075702553e-09,0.008716152427384459,0.2964509589999693,0.00692161000000624,0.2783312099999762,0.20888811399998986,39.905795216,0.00029352699999662946,39.701471357,39.701471357,0.0018450790000201778,0.0,2.7852000016537204e-05,0.06846493500000861,0.06877847999999176,0.26058084999999664,40.532202557999994,False,False,False,False,False,0,0,0,0,0
