mode,mesh_resolution,build_path,linear_solver_mode,ksp_type,pc_type,block_pc_name,kphiu_reassembly_policy,ndof_u,ndof_phi,total_dofs,accepted_state_index,load_value,newton_iteration_within_load,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,contact_quadrature_loop_time,contact_geometry_eval_time,contact_query_time,contact_gap_normal_eval_time,contact_active_filter_time,contact_local_residual_time,contact_local_tangent_uu_time,contact_local_tangent_uphi_time,contact_geometry_eval_call_count,contact_geometry_eval_avg_time,contact_query_avg_time,contact_query_call_count,contact_query_cache_hit_count,contact_query_cache_miss_count,contact_sensitivity_call_count,contact_sensitivity_cache_hit_count,contact_sensitivity_cache_miss_count,contact_sensitivity_time,contact_sensitivity_avg_time,contact_local_tangent_uphi_call_count,contact_local_tangent_uu_call_count,cell_geometry_cache_hit_count,cell_geometry_cache_miss_count,function_cell_dof_cache_hit_count,function_cell_dof_cache_miss_count,vector_subfunction_cache_hit_count,vector_subfunction_cache_miss_count,contact_scatter_to_global_time,phi_form_assembly_time,phi_matrix_extract_time,phi_matrix_convert_time,phi_rhs_assembly_time,phi_rhs_extract_time,phi_matrix_extract_or_convert_time,phi_rhs_extract_or_convert_time,phi_dof_lookup_time,phi_geometry_helper_time,phi_basis_tabulation_time,phi_form_call_count,phi_form_cache_hit_count,phi_form_cache_miss_count,phi_matrix_extract_call_count,phi_matrix_convert_call_count,phi_rhs_extract_call_count,phi_dof_lookup_call_count,phi_basis_tabulation_call_count,phi_residual_form_assembly_time,phi_residual_extract_time,phi_kphiu_form_assembly_time,phi_kphiu_extract_time,phi_kphiu_convert_time,phi_kphiphi_form_assembly_time,phi_kphiphi_extract_time,phi_kphiphi_convert_time,phi_form_time_R_phi,phi_form_time_K_phi_u,K_phi_u_pre_assemble_overhead_time,K_phi_u_assemble_call_time,K_phi_u_post_assemble_immediate_time,K_phi_u_assembly_target_cell_count,K_phi_u_assembly_target_facet_count,K_phi_u_target_u_dof_count,K_phi_u_target_phi_dof_count,K_phi_u_output_nnz,K_phi_u_output_density,K_phi_u_active_row_count,K_phi_u_active_col_count,K_phi_u_active_row_fraction,K_phi_u_active_col_fraction,contact_candidate_point_count,contact_active_point_count,contact_active_fraction,K_phi_u_rows_touched_by_active_contact,K_phi_u_cols_touched_by_active_contact,K_phi_u_active_support_row_fraction,K_phi_u_active_support_col_fraction,K_phi_u_active_support_fraction,phi_form_time_K_phi_phi,phi_extract_time_K_phi_u,phi_convert_time_K_phi_u,phi_extract_time_K_phi_phi,phi_convert_time_K_phi_phi,phi_form_call_count_R_phi,phi_form_call_count_K_phi_u,phi_form_call_count_K_phi_phi,phi_matrix_extract_call_count_K_phi_u,phi_matrix_convert_call_count_K_phi_u,phi_matrix_extract_call_count_K_phi_phi,phi_matrix_convert_call_count_K_phi_phi,K_phi_u_reassemble_count,K_phi_u_reuse_hit_count,K_phi_u_reuse_miss_count,K_phi_u_reuse_hit_rate,K_phi_u_support_signature_change_count,K_phi_u_reuse_miss_no_cache,K_phi_u_reuse_miss_step_changed,K_phi_u_reuse_miss_signature_changed,K_phi_u_reuse_miss_cutback_or_restart,phi_scatter_pattern_build_time,phi_scatter_pattern_build_count,dofmap_lookup_time,surface_entity_iteration_time,basis_eval_or_tabulation_time,numpy_temp_allocation_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,reuse_attempted,reuse_failed_stage,reuse_failure_message,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,reuse_when_support_signature_unchanged,375,729,1104,2,0.02,1,1,3,0.004040188733215321,3.464326148051463e-05,0.008574664147668254,0.261772938,0.007305017999996721,0.03570619900000338,0.2187617209999999,0.02988016999999843,0.02977885599999297,0.0,2.8814999993187485e-05,4.1297000002771256e-05,0.0003089860000216049,0.00267030999997786,0.002411053999985313,64,0.00046529462499989016,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,6.840999994039976e-06,0.21448109099999613,0.0003898969999980295,0.0009972190000056003,0.015605559999997354,4.0879999971821235e-06,0.0013871160000036298,4.0879999971821235e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.015605559999997354,4.0879999971821235e-06,0.15591717300000596,3.620799999737301e-05,0.00026551500000238093,0.04295835799999281,0.0003536890000006565,0.0007317040000032193,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0.0,0,0,1,0,0,0.0,0.0,0.0,0.029869749999960504,0.0,0.007467710000000238,0.23397283599999952,0.0003978109999991375,0.0,0.024206622999997762,0.0021646940000081827,4.290999999767564e-05,7.256500000352162e-05,0.08003164499999826,0.08019318599999536,0.07110990900000047,0.44426003299999905,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,reuse_when_support_signature_unchanged,375,729,1104,2,0.02,2,1,3,3.4643261480514616e-05,3.1559438196266257e-07,0.009109834596265458,0.07553467200000341,0.009486381000002098,0.006674953000000983,0.05937333800000033,0.0019301479999995763,0.0018591260000277998,0.0,1.7566999993334775e-05,2.491800000115063e-05,0.00024234400000011647,0.0019618130000012,0.0021071680000446236,64,2.9048843750434372e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,6.1809999536421856e-06,0.052075413999993714,0.00035491100000228926,0.0006756800000005114,0.010233724999999083,4.038000000150532e-06,0.0010305910000028007,4.038000000150532e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.010233724999999083,4.038000000150532e-06,0.0,0.0,0.0,0.04184168899999463,0.00035491100000228926,0.0006756800000005114,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.00191814499998344,0.0,0.007467710000000238,0.08192783300000173,0.00030301399999643763,0.0,0.02683821900000538,0.0017117710000036368,3.967399999993404e-05,2.6740000002689612e-05,0.06514617900000275,0.06526452900000379,0.058609783999997944,0.23266234199999758,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,reuse_when_support_signature_unchanged,375,729,1104,2,0.02,3,1,3,3.155943413165834e-07,2.875654211367328e-09,0.009111868734308711,0.06882897299998803,0.0067000299999975255,0.006085203999994349,0.05604373899999615,0.001710778999999718,0.001651312999982224,0.0,1.5113999992877325e-05,2.1914999990713113e-05,0.00022394099996603245,0.0018270180000428127,0.002015697999958377,64,2.580176562472225e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,5.637999983321151e-06,0.050471621999989225,0.0003693089999998733,0.000783891000004644,0.009559679999995296,1.4230000004999965e-06,0.0011532000000045173,1.4230000004999965e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009559679999995296,1.4230000004999965e-06,0.0,0.0,0.0,0.04091194199999393,0.0003693089999998733,0.000783891000004644,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0017015600000220843,0.0,0.007467710000000238,0.07601256299999903,0.00030464700000010225,0.0,0.023644945999997447,0.0018444899999963127,3.8422000002924506e-05,2.6259000001971344e-05,0.06350329600000038,0.06361268999999936,0.05938924699999859,0.22171204200000005,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,reuse_when_support_signature_unchanged,375,729,1104,3,0.04,1,1,3,0.003486726843315079,2.9072714776427258e-05,0.008338110807896199,0.2424389689999984,0.007046684999998831,0.039283687000001066,0.1961085969999985,0.03479567199999423,0.03469077099997264,0.0,3.043700001370553e-05,2.1186000012107797e-05,0.00023146700001319687,0.0019148810000189087,0.0020153079999971624,64,0.0005420432968745725,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,5.774999976893014e-06,0.1943257220000092,7.274600000073406e-05,0.0007944119999976351,0.009849621000000752,1.6430000044920234e-06,0.0008671579999983692,1.6430000044920234e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009849621000000752,1.6430000044920234e-06,0.14213127600000064,2.7561999999647924e-05,0.00018682900000044356,0.0423448250000078,4.518400000108613e-05,0.0006075829999971916,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0.0,0,0,1,0,0,0.0,0.0,0.0,0.03478526100003876,0.0,0.007467710000000238,0.21791682899999643,0.00028550199999699544,0.0,0.025406090000004156,0.0018377550000039378,4.1567000003794874e-05,2.928500000365375e-05,0.06711362499999751,0.0672228290000021,0.06011708000000482,0.40175045699999856,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,reuse_when_support_signature_unchanged,375,729,1104,3,0.04,2,1,3,2.907271477642276e-05,2.532955935008427e-07,0.008712485072300817,0.06773411500000037,0.007221833999999205,0.006186812999999347,0.05432546800000182,0.0017731949999983954,0.001699443000006795,0.0,1.548899999193054e-05,2.226700003404858e-05,0.00022363300000449726,0.0018724449999893977,0.0020025429999961375,64,2.6553796875106173e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,5.764999997381892e-06,0.050398276000002795,0.00023648100000173145,0.0007374850000019251,0.009583604000006574,1.9539999982498557e-06,0.0009739660000036565,1.9539999982498557e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009583604000006574,1.9539999982498557e-06,0.0,0.0,0.0,0.04081467199999622,0.00023648100000173145,0.0007374850000019251,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0017634929999914561,0.0,0.007467710000000238,0.07579258300000191,0.00022033999999848675,0.0,0.024820286000000635,0.0013990969999966296,3.746899999867992e-05,2.7781999996534523e-05,0.0643048500000063,0.06441821199999964,0.0599176650000004,0.22352851200000146,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,reuse_when_support_signature_unchanged,375,729,1104,3,0.04,3,1,3,2.53295570111615e-07,2.207718263979554e-09,0.008715976607907986,0.0683698470000067,0.00744180299999897,0.006596014000002981,0.05433203000000475,0.0018398500000031959,0.0017765889999807882,0.0,1.5259000022638247e-05,2.9027999964625906e-05,0.00024718700000647686,0.00202664599997604,0.002091396999993833,64,2.7759203124699816e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,6.260000006363953e-06,0.05036666900000597,0.00022954800000007936,0.0005193279999957667,0.009584887000002595,2.223999999273474e-06,0.0007488759999958461,2.223999999273474e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009584887000002595,2.223999999273474e-06,0.0,0.0,0.0,0.040781782000003375,0.00022954800000007936,0.0005193279999957667,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0018292039999820986,0.0,0.007467710000000238,0.07562119500000364,0.000224979999998709,0.0,0.02513443299999807,0.0014838160000039124,3.481499999935522e-05,2.750200000178893e-05,0.06418825299999753,0.06429457100000491,0.06385956000000448,0.22779381699999846,False,False,False,False,False,False,,,0,0,0,0,0
