mode,mesh_resolution,build_path,linear_solver_mode,ksp_type,pc_type,block_pc_name,ndof_u,ndof_phi,total_dofs,accepted_state_index,load_value,newton_iteration_within_load,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,contact_quadrature_loop_time,contact_geometry_eval_time,contact_query_time,contact_gap_normal_eval_time,contact_active_filter_time,contact_local_residual_time,contact_local_tangent_uu_time,contact_local_tangent_uphi_time,contact_geometry_eval_call_count,contact_geometry_eval_avg_time,contact_query_avg_time,contact_query_call_count,contact_query_cache_hit_count,contact_query_cache_miss_count,contact_sensitivity_call_count,contact_sensitivity_cache_hit_count,contact_sensitivity_cache_miss_count,contact_sensitivity_time,contact_sensitivity_avg_time,contact_local_tangent_uphi_call_count,contact_local_tangent_uu_call_count,cell_geometry_cache_hit_count,cell_geometry_cache_miss_count,function_cell_dof_cache_hit_count,function_cell_dof_cache_miss_count,vector_subfunction_cache_hit_count,vector_subfunction_cache_miss_count,contact_scatter_to_global_time,phi_form_assembly_time,phi_matrix_extract_time,phi_matrix_convert_time,phi_rhs_assembly_time,phi_rhs_extract_time,phi_matrix_extract_or_convert_time,phi_rhs_extract_or_convert_time,phi_dof_lookup_time,phi_geometry_helper_time,phi_basis_tabulation_time,phi_form_call_count,phi_form_cache_hit_count,phi_form_cache_miss_count,phi_matrix_extract_call_count,phi_matrix_convert_call_count,phi_rhs_extract_call_count,phi_dof_lookup_call_count,phi_basis_tabulation_call_count,phi_residual_form_assembly_time,phi_residual_extract_time,phi_kphiu_form_assembly_time,phi_kphiu_extract_time,phi_kphiu_convert_time,phi_kphiphi_form_assembly_time,phi_kphiphi_extract_time,phi_kphiphi_convert_time,phi_form_time_R_phi,phi_form_time_K_phi_u,phi_form_time_K_phi_phi,phi_extract_time_K_phi_u,phi_convert_time_K_phi_u,phi_extract_time_K_phi_phi,phi_convert_time_K_phi_phi,phi_form_call_count_R_phi,phi_form_call_count_K_phi_u,phi_form_call_count_K_phi_phi,phi_matrix_extract_call_count_K_phi_u,phi_matrix_convert_call_count_K_phi_u,phi_matrix_extract_call_count_K_phi_phi,phi_matrix_convert_call_count_K_phi_phi,phi_scatter_pattern_build_time,phi_scatter_pattern_build_count,dofmap_lookup_time,surface_entity_iteration_time,basis_eval_or_tabulation_time,numpy_temp_allocation_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,reuse_attempted,reuse_failed_stage,reuse_failure_message,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,2,0.02,1,2,3,0.004040188733215321,3.464326321892378e-05,0.008574664577947448,0.240145954999889,0.00826135499994507,0.03428150599995661,0.19760309399998732,0.029948803000024782,0.029846362000398585,0.0,2.759300014076871e-05,2.245799976208218e-05,0.00021690700043563993,0.0018285780002997853,0.0019393430002310197,64,0.0004663494062562279,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,5.6000001222855644e-06,0.19395840199979375,0.00039315200001510675,0.0009115400000609952,0.009690176999924915,3.266000021540094e-06,0.001304692000076102,3.266000021540094e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009690176999924915,3.266000021540094e-06,0.1431953329999942,5.018299998482689e-05,0.0002299989999983154,0.04107289199987463,0.00034296900003027986,0.0006815410000626798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.02993761899938363,0.0,0.007686444999990272,0.21808373199996822,0.00027903000000151224,0.0,0.024180541999953675,0.0017905359999303982,5.6846000006771646e-05,0.2629141539999864,0.03319881900006294,0.2962087229999497,0.06061003000002074,0.6274116380000123,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,2,0.02,2,2,3,3.464326321892377e-05,3.15594283439447e-07,0.009109831295195502,0.20625152200011598,0.007592729000066356,0.006087664999995468,0.19257112800005416,0.0017866499999854568,0.0017299280002589512,0.0,1.420299997789698e-05,2.2200999410415534e-05,0.0002201459993784738,0.0018403160003117591,0.001956871999254872,64,2.7030125004046113e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,5.294999255056609e-06,0.18852408599991577,0.00018418299998756993,0.0011956880000525416,0.009536742000022969,2.594999955363164e-06,0.0013798710000401115,2.594999955363164e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009536742000022969,2.594999955363164e-06,0.1376306149999209,3.0246000051192823e-05,0.0003891650000014124,0.04135672899997189,0.0001539369999363771,0.0008065230000511292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0017779629993128765,0.0,0.007686444999990272,0.21356670599993777,0.0003291340000259879,0.0,0.024640911000005872,0.0019038070000760854,3.7609999935739324e-05,0.25554679799995483,0.032894788000021435,0.3002075749999449,0.05634325800008355,0.5936913699999877,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,2,0.02,3,2,3,3.15594283437944e-07,2.875692980533647e-09,0.009111993250343842,0.2125185610001381,0.007089100000030157,0.006433200000060424,0.19899626100004753,0.0017088750000766595,0.0016540399994937616,0.0,1.3081999213682138e-05,2.6547000175014546e-05,0.00022699699991335365,0.001933263000523766,0.002212841999948978,64,2.5844374992090025e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,5.948999842075864e-06,0.19787269899984494,8.043000002544431e-05,0.0006476860000930174,0.009546059000058449,3.4060000189128914e-06,0.0007281160001184617,3.4060000189128914e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009546059000058449,3.4060000189128914e-06,0.14484531899995545,3.0746999982511625e-05,0.00016853400006766606,0.04348132099983104,4.968300004293269e-05,0.0004791520000253513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.001701309999930345,0.0,0.007686444999990272,0.21972640499996032,0.00023802300006536825,0.0,0.024631353000017953,0.0013228249999883701,4.1277000036643585e-05,0.228156611999907,0.03425573699996676,0.26262300099995173,0.059858749999989413,0.565630484000053,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,3,0.04,1,3,3,0.003486726843317205,2.9072714776779962e-05,0.008338110807992271,0.24339019399997142,0.007259239000063644,0.03965408099998058,0.1964768739999272,0.03513546800002132,0.03502980799987654,0.0,2.8322999696683837e-05,2.4845000439199794e-05,0.00023986099995454424,0.00188140699970063,0.002021061000505142,64,0.0005473407499980709,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,5.648999945151445e-06,0.19518031699999483,7.593200007249834e-05,0.0007209839999404721,0.009478281000042443,3.97799999518611e-06,0.0007969160000129705,3.97799999518611e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009478281000042443,3.97799999518611e-06,0.1435345940000161,2.8874000008727307e-05,0.00015843500000300992,0.04216744199993627,4.705800006377103e-05,0.0005625489999374622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.03512318800017056,0.0,0.007686444999990272,0.21670330799997828,0.0002833480000390409,0.0,0.023819917999958307,0.0018743829999721129,3.8851999988764874e-05,0.2326937899999848,0.03338984499998787,0.2661783610000157,0.05643147199998566,0.5959924769999816,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,3,0.04,2,2,3,2.9072714776775463e-05,2.5329555169015237e-07,0.008712483634053183,0.2001649889999726,0.006796946999997999,0.0061039759999630405,0.18726406600001155,0.0017483090000496304,0.0016916890001539286,0.0,1.3414999671113037e-05,2.248999999210355e-05,0.00022269699968546774,0.0018134650003958086,0.001986912000347729,64,2.6432640627405135e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,5.3499995829042746e-06,0.18618412100011028,7.982899990111036e-05,0.0006302559999085133,0.009060473999966234,2.544999915699009e-06,0.0007100849998096237,2.544999915699009e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009060473999966234,2.544999915699009e-06,0.1362757760000477,2.8783999937331828e-05,0.00016061999997418752,0.04084787100009635,5.104499996377854e-05,0.0004696359999343258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0017397049999772207,0.0,0.007686444999990272,0.20789133599998877,0.00019340999995165475,0.0,0.024604922999969858,0.0011534099999153113,3.730899993570347e-05,0.23094746399999622,0.03147903199999291,0.262632329999974,0.0587093780000032,0.5515479999999116,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,3,0.04,3,2,3,2.5329555168383054e-07,2.207762855737312e-09,0.008716153288365258,0.21980726499998582,0.006558802999961699,0.006263912000008531,0.2069845500000156,0.0018464900000481066,0.0017857720002893984,0.0,1.4439999858950614e-05,2.2771000317334256e-05,0.00022001599973009434,0.001836159000617954,0.002024457000061375,64,2.790268750452185e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,6.29000055596407e-06,0.2054283699997086,9.09700000875091e-05,0.0010898420000557962,0.009705827999937355,3.736999929060403e-06,0.0011808120001433053,3.736999929060403e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009705827999937355,3.736999929060403e-06,0.15193086399983713,3.0287000072348746e-05,0.00020733700000619137,0.04379167799993411,6.068300001516036e-05,0.0008825050000496049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0018374829996901099,0.0,0.007686444999990272,0.2288359120000223,0.00029654299999037903,0.0,0.02435056000001623,0.002501952000102392,4.9862999958349974e-05,0.22679801900005714,0.034029065000027,0.26104648200009706,0.05959508099999766,0.5723661289999882,False,False,False,False,False,False,,,0,0,0,0,0
