mode,contact_structure_mode,max_outer_iter,relaxation_u,requested_final_target_load,final_accepted_load,reached_final_target,terminated_early,termination_reason,accepted_step_count,attempt_count,total_outer_iterations,cutback_count,final_reaction_norm,final_max_penetration,history_path,summary_path
baseline,consistent_linearized,10,1.0,0.06,0.06,True,False,completed_schedule,4,4,17,0,0.014005056884434684,0.060030828999713466,contact_history_baseline_consistent_linearized.csv,contact_history_summary_baseline_consistent_linearized.txt
aggressive,consistent_linearized,10,1.0,0.12,0.12,True,False,completed_schedule,4,4,29,0,0.12471645523527924,0.12127179623496781,contact_history_aggressive_consistent_linearized.csv,contact_history_summary_aggressive_consistent_linearized.txt
