mode,mesh_resolution,build_path,linear_solver_mode,ksp_type,pc_type,block_pc_name,ndof_u,ndof_phi,total_dofs,accepted_state_index,load_value,newton_iteration_within_load,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,contact_quadrature_loop_time,contact_geometry_eval_time,contact_query_time,contact_gap_normal_eval_time,contact_active_filter_time,contact_local_residual_time,contact_local_tangent_uu_time,contact_local_tangent_uphi_time,contact_geometry_eval_call_count,contact_geometry_eval_avg_time,contact_query_avg_time,contact_query_call_count,contact_query_cache_hit_count,contact_query_cache_miss_count,contact_sensitivity_call_count,contact_sensitivity_cache_hit_count,contact_sensitivity_cache_miss_count,contact_sensitivity_time,contact_sensitivity_avg_time,contact_local_tangent_uphi_call_count,contact_local_tangent_uu_call_count,cell_geometry_cache_hit_count,cell_geometry_cache_miss_count,function_cell_dof_cache_hit_count,function_cell_dof_cache_miss_count,vector_subfunction_cache_hit_count,vector_subfunction_cache_miss_count,contact_scatter_to_global_time,phi_form_assembly_time,phi_matrix_extract_time,phi_matrix_convert_time,phi_rhs_assembly_time,phi_rhs_extract_time,phi_matrix_extract_or_convert_time,phi_rhs_extract_or_convert_time,phi_dof_lookup_time,phi_geometry_helper_time,phi_basis_tabulation_time,phi_form_call_count,phi_form_cache_hit_count,phi_form_cache_miss_count,phi_matrix_extract_call_count,phi_matrix_convert_call_count,phi_rhs_extract_call_count,phi_dof_lookup_call_count,phi_basis_tabulation_call_count,phi_residual_form_assembly_time,phi_residual_extract_time,phi_kphiu_form_assembly_time,phi_kphiu_extract_time,phi_kphiu_convert_time,phi_kphiphi_form_assembly_time,phi_kphiphi_extract_time,phi_kphiphi_convert_time,dofmap_lookup_time,surface_entity_iteration_time,basis_eval_or_tabulation_time,numpy_temp_allocation_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,reuse_attempted,reuse_failed_stage,reuse_failure_message,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,2,0.02,1,1,3,0.004040188733215321,3.464326148051463e-05,0.008574664147668254,0.24214865199999736,0.007221307000008892,0.033706965999996896,0.20122037899999157,0.0291117120000024,0.02901912100003301,0.01696924999998828,2.7141000032315787e-05,2.5514999975939645e-05,0.00022098000002301887,0.0018361340000723203,0.001970972999927767,64,0.0004534237656255158,0.00026514453124981685,64,0,64,64,0,64,0.011032662999966192,0.00017238535937447175,64,64,384,0,576,0,128,0,6.1960000721228425e-06,0.19697969599998544,0.000733797999998842,0.003141855000009741,0.009045197000006056,2.143999992654244e-06,0.003875653000008583,2.143999992654244e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009045197000006056,2.143999992654244e-06,0.13770311999998341,2.9595000000881555e-05,0.0009240620000099398,0.05023137899999597,0.0007042029999979604,0.0022177929999998014,0.0,0.029099355999903764,0.004837958000109666,0.00831624200002068,0.22325228800001184,0.00029749399999445814,0.0,0.024740474999987327,0.0020455820000080394,3.851099999963026e-05,0.0029578110000016977,0.08133848100000307,0.0843969200000032,0.0665835939999937,0.4244752930000004,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,2,0.02,2,1,3,3.4643261480514616e-05,3.1559426103524963e-07,0.00910983110561799,0.2615773300000086,0.009870954999996684,0.04595043000000487,0.20575594500000705,0.0409330720000014,0.040813179000011246,0.024005393000024355,3.383500005327278e-05,3.063300005123892e-05,0.00025614100015047825,0.0019045380000619616,0.002189569000023539,64,0.0006377059218751757,0.00037508426562538055,64,0,64,64,0,64,0.015475578999996742,0.0002418059218749491,64,64,446,0,700,0,159,0,6.608999967738782e-06,0.19847447699997645,0.0006553010000089898,0.003382091000005971,0.010006458000006546,4.207999992900113e-06,0.004037392000014961,4.207999992900113e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.010006458000006546,4.207999992900113e-06,0.14824638999998285,0.0001992410000042355,0.0016783690000039542,0.04022162899998705,0.00045606000000475433,0.001703722000002017,0.0,0.04091462000003787,0.0068888569999501215,0.008485333000010087,0.2280331199999921,0.0005075960000056057,0.0,0.02542811799999356,0.0025812800000011293,9.455600000762843e-05,2.855299999282579e-05,0.06403359099999761,0.06416800099999875,0.05813763400000482,0.4167141899999933,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,2,0.02,3,1,3,3.155942610337466e-07,2.875692730773067e-09,0.00911199310581116,0.24058003000000383,0.007120569999997883,0.03846048399999802,0.19499897600000793,0.033700031999998714,0.033603837000015346,0.02104279599998904,2.7466999966918593e-05,2.9458000028625975e-05,0.000235949000014557,0.0019118799999944258,0.00201187899999411,64,0.0005250599531252398,0.00032879368749982874,64,0,64,64,0,64,0.011533454999991477,0.00018021023437486683,64,64,446,0,700,0,159,0,6.423999977300809e-06,0.1905692619999826,0.00011126700000829715,0.0023109759999897506,0.00960965799998803,1.7429999985552058e-06,0.0024222429999980477,1.7429999985552058e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.00960965799998803,1.7429999985552058e-06,0.1388705060000035,3.591700000526998e-05,0.0009435779999904526,0.042089097999991054,7.535000000302716e-05,0.001367397999999298,0.0,0.033687165999992885,0.0057045320001947175,0.008419741000025738,0.21643950200000006,0.0002971130000020139,0.0,0.02458015900000987,0.001879983999998558,3.776999999161035e-05,3.398299999446408e-05,0.06325580099999684,0.06341518799999335,0.05808528600000784,0.39368918099999917,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,3,0.04,1,1,3,0.003486726843316954,2.9072714776764468e-05,0.008338110807988429,0.23446195799999714,0.007233681000002434,0.03743366000000492,0.18979461699998978,0.032490148000007935,0.03239697000000774,0.020343810000085227,2.622799999585368e-05,2.7286999952025326e-05,0.00021720200003016998,0.001792789000020889,0.0018931619999875693,64,0.000506202656250121,0.0003178720312513317,64,0,64,64,0,64,0.01107825700005094,0.00017309776562579593,64,64,446,0,700,0,159,0,5.7450000099379395e-06,0.18710376499997494,9.506700000372348e-05,0.0021900710000153367,0.009492598999997881,3.445999993800797e-06,0.00228513800001906,3.445999993800797e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009492598999997881,3.445999993800797e-06,0.13781452999998578,3.200999999819487e-05,0.0009163870000037377,0.03979663599999128,6.305700000552861e-05,0.001273684000011599,0.0,0.03247724800003482,0.005450264999964816,0.00840597500005913,0.21155203499999686,0.00032899299999655796,0.0,0.025252791000013985,0.002107027000008088,4.122699999697943e-05,3.820100000950788e-05,0.06289482199998986,0.06302546599999914,0.05691537199999175,0.38592354800000805,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,3,0.04,2,1,3,2.9072714776759972e-05,2.532955023487046e-07,0.008712481936884096,0.23578224999999975,0.006822485000000711,0.037801896999994256,0.19115786800000478,0.03299189300000194,0.03289862099997265,0.020946462000040356,2.6652000016724742e-05,2.8417000052627372e-05,0.0002397310000787911,0.0018569610000014336,0.001990670000068917,64,0.0005140409531245727,0.00032728846875063056,64,0,64,64,0,64,0.010923886999989918,0.00017068573437484247,64,64,446,0,700,0,159,0,6.238999958441127e-06,0.1884203279999923,9.672999999565945e-05,0.002286691000009,0.009447954999998842,1.6829999935907836e-06,0.0023834210000046596,1.6829999935907836e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009447954999998842,1.6829999935907836e-06,0.13795060500000034,2.8041999996730738e-05,0.0008937350000053357,0.04102176799999313,6.868799999892872e-05,0.0013929560000036645,0.0,0.03297965900001998,0.005456249000076241,0.008433190999937779,0.21181985399999803,0.0002452669999968293,0.0,0.024271409999997218,0.001751272999996445,3.9934000000130254e-05,2.71310000101721e-05,0.06274560299999621,0.0628705860000025,0.059277137999998786,0.38852555100000075,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,3,0.04,3,1,3,2.53295502342383e-07,2.207762206504144e-09,0.008716152423108886,0.2354647209999854,0.0068787289999932,0.03779313799999784,0.19079285399999435,0.032800825999999006,0.03270442800005924,0.020508304000017574,2.6679999990619763e-05,2.762799999800336e-05,0.00023092000003543944,0.0018684870000527098,0.0019635030000131337,64,0.0005110066875009256,0.0003204422500002746,64,0,64,64,0,64,0.011157327999967492,0.00017433324999949207,64,64,446,0,700,0,159,0,5.954999977575426e-06,0.18688931100001582,9.124900000756497e-05,0.0024272339999953374,0.009064763000012022,1.6729999998688072e-06,0.0025184830000029024,1.6729999998688072e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009064763000012022,1.6729999998688072e-06,0.1381422670000063,2.7731000002972905e-05,0.0011295059999980595,0.03968228099999749,6.351800000459207e-05,0.001297727999997278,0.0,0.03278751799996371,0.0054479779999354605,0.008411184999985721,0.21155920500000036,0.0002489839999952892,0.0,0.02410342700000001,0.0016488540000096918,3.7669999997547166e-05,2.646000000083859e-05,0.0627990710000006,0.06292602700000316,0.057873341000004075,0.3866033209999955,False,False,False,False,False,False,,,0,0,0,0,0
