mode,mesh_resolution,build_path,linear_solver_mode,ksp_type,pc_type,block_pc_name,kphiu_reassembly_policy,ndof_u,ndof_phi,total_dofs,accepted_state_index,load_value,newton_iteration_within_load,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,contact_quadrature_loop_time,contact_geometry_eval_time,contact_query_time,contact_gap_normal_eval_time,contact_active_filter_time,contact_local_residual_time,contact_local_tangent_uu_time,contact_local_tangent_uphi_time,contact_geometry_eval_call_count,contact_geometry_eval_avg_time,contact_query_avg_time,contact_query_call_count,contact_query_cache_hit_count,contact_query_cache_miss_count,contact_sensitivity_call_count,contact_sensitivity_cache_hit_count,contact_sensitivity_cache_miss_count,contact_sensitivity_time,contact_sensitivity_avg_time,contact_local_tangent_uphi_call_count,contact_local_tangent_uu_call_count,cell_geometry_cache_hit_count,cell_geometry_cache_miss_count,function_cell_dof_cache_hit_count,function_cell_dof_cache_miss_count,vector_subfunction_cache_hit_count,vector_subfunction_cache_miss_count,contact_scatter_to_global_time,phi_form_assembly_time,phi_matrix_extract_time,phi_matrix_convert_time,phi_rhs_assembly_time,phi_rhs_extract_time,phi_matrix_extract_or_convert_time,phi_rhs_extract_or_convert_time,phi_dof_lookup_time,phi_geometry_helper_time,phi_basis_tabulation_time,phi_form_call_count,phi_form_cache_hit_count,phi_form_cache_miss_count,phi_matrix_extract_call_count,phi_matrix_convert_call_count,phi_rhs_extract_call_count,phi_dof_lookup_call_count,phi_basis_tabulation_call_count,phi_residual_form_assembly_time,phi_residual_extract_time,phi_kphiu_form_assembly_time,phi_kphiu_extract_time,phi_kphiu_convert_time,phi_kphiphi_form_assembly_time,phi_kphiphi_extract_time,phi_kphiphi_convert_time,phi_form_time_R_phi,phi_form_time_K_phi_u,K_phi_u_pre_assemble_overhead_time,K_phi_u_assemble_call_time,K_phi_u_post_assemble_immediate_time,K_phi_u_assembly_target_cell_count,K_phi_u_assembly_target_facet_count,K_phi_u_target_u_dof_count,K_phi_u_target_phi_dof_count,K_phi_u_output_nnz,K_phi_u_output_density,K_phi_u_active_row_count,K_phi_u_active_col_count,K_phi_u_active_row_fraction,K_phi_u_active_col_fraction,contact_candidate_point_count,contact_active_point_count,contact_active_fraction,K_phi_u_rows_touched_by_active_contact,K_phi_u_cols_touched_by_active_contact,K_phi_u_active_support_row_fraction,K_phi_u_active_support_col_fraction,K_phi_u_active_support_fraction,phi_form_time_K_phi_phi,phi_extract_time_K_phi_u,phi_convert_time_K_phi_u,phi_extract_time_K_phi_phi,phi_convert_time_K_phi_phi,phi_form_call_count_R_phi,phi_form_call_count_K_phi_u,phi_form_call_count_K_phi_phi,phi_matrix_extract_call_count_K_phi_u,phi_matrix_convert_call_count_K_phi_u,phi_matrix_extract_call_count_K_phi_phi,phi_matrix_convert_call_count_K_phi_phi,K_phi_u_reassemble_count,K_phi_u_reuse_hit_count,K_phi_u_reuse_miss_count,K_phi_u_reuse_hit_rate,K_phi_u_support_signature_change_count,K_phi_u_reuse_miss_no_cache,K_phi_u_reuse_miss_step_changed,K_phi_u_reuse_miss_signature_changed,K_phi_u_reuse_miss_cutback_or_restart,phi_scatter_pattern_build_time,phi_scatter_pattern_build_count,dofmap_lookup_time,surface_entity_iteration_time,basis_eval_or_tabulation_time,numpy_temp_allocation_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,reuse_attempted,reuse_failed_stage,reuse_failure_message,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,reuse_when_support_signature_unchanged,375,729,1104,2,0.02,1,1,3,0.004040188733215321,3.464326148051463e-05,0.008574664147668254,0.24166873800000133,0.007221547000000328,0.03639658400000201,0.198050606999999,0.03123670900000519,0.03113106500003937,0.0,2.8520000036280635e-05,7.520800001969974e-05,0.0002644219999865527,0.0021108000000111815,0.002310067999992782,64,0.00048642289062561517,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,7.533000015769176e-06,0.19434504099999117,0.00039286199999821747,0.0008661840000030452,0.009796604999998237,1.3419999973507402e-06,0.0012590460000012627,1.3419999973507402e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009796604999998237,1.3419999973507402e-06,0.1408374049999992,2.996599999960381e-05,0.00023455699999885837,0.04371103099999374,0.00036289599999861366,0.0006316270000041868,0.009796604999998237,0.1408374049999992,5.741000002501551e-06,0.1408251119999946,6.552000002102432e-06,64,0,375,729,7938,0.02903703703703704,243,150,0.3333333333333333,0.4,64,64,1.0,243,150,1.0,1.0,1.0,0.04371103099999374,2.996599999960381e-05,0.00023455699999885837,0.00036289599999861366,0.0006316270000041868,1,1,1,1,1,1,1,1,0,1,0.0,0,0,1,0,0,0.0,0.0,0.0,0.031224518000023238,0.0,0.00798790500000024,0.21957607099999876,0.00018963300000507388,0.0,0.025084446000001037,0.001242394999998453,3.0086000002427227e-05,7.018099999811511e-05,0.09277376899999723,0.0929600569999991,0.06591850699999924,0.4322070199999999,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,reuse_when_support_signature_unchanged,375,729,1104,2,0.02,2,1,3,3.4643261480514616e-05,3.1559438196266257e-07,0.009109834596265458,0.07584636800000055,0.008438223999995387,0.006532724000003043,0.06087542000000212,0.0018161350000056586,0.0017525220000180752,0.0,1.4893999967569016e-05,2.6216999984285394e-05,0.00023726399999191017,0.001996299999994733,0.0021598889999765447,64,2.7383156250282426e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,6.890000015857822e-06,0.05300937099999459,0.0003826530000026196,0.0007335969999999747,0.010025192999997046,1.7830000018648207e-06,0.0011162500000025943,1.7830000018648207e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.010025192999997046,1.7830000018648207e-06,0.0,0.0,0.0,0.04298417799999754,0.0003826530000026196,0.0007335969999999747,0.010025192999997046,0.0,0.0,0.0,0.0,64,0,375,729,7938,0.02903703703703704,243,150,0.3333333333333333,0.4,64,64,1.0,243,150,1.0,1.0,1.0,0.04298417799999754,0.0,0.0,0.0003826530000026196,0.0007335969999999747,1,1,1,1,1,1,1,0,1,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0018047849999689447,0.0,0.00798790500000024,0.08284425600000134,0.00020597400000355037,0.0,0.025517432000000895,0.00141904399999504,3.444399999352754e-05,2.882399999748486e-05,0.06810993000000565,0.06821801099999902,0.07808981699999862,0.2545727769999999,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,reuse_when_support_signature_unchanged,375,729,1104,2,0.02,3,1,3,3.155943413165834e-07,2.875654211367328e-09,0.009111868734308711,0.07543541100000084,0.007125879000000168,0.006937077000003455,0.06137245499999722,0.002351652000001536,0.0022722319999886054,0.0,1.8060999998681382e-05,2.346500000527385e-05,0.00023162400000842354,0.0019076889999922741,0.002099120999972115,64,3.550362499982196e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,6.586000004915604e-06,0.05342930500000165,0.0013847499999997126,0.0006335799999988012,0.009623652999998455,1.0919999979819295e-06,0.002018329999998514,1.0919999979819295e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009623652999998455,1.0919999979819295e-06,0.0,0.0,0.0,0.04380565200000319,0.0013847499999997126,0.0006335799999988012,0.009623652999998455,0.0,0.0,0.0,0.0,64,0,375,729,7938,0.02903703703703704,243,150,0.3333333333333333,0.4,64,64,1.0,243,150,1.0,1.0,1.0,0.04380565200000319,0.0,0.0,0.0013847499999997126,0.0006335799999988012,1,1,1,1,1,1,1,0,1,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.00234129200003963,0.0,0.00798790500000024,0.08291698200000042,0.00019040400000136515,0.0,0.024482951999999614,0.001096524000004706,3.120800000289137e-05,2.927399999919089e-05,0.06739336500000093,0.06751339799999556,0.06448099800000051,0.23901042500000358,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,reuse_when_support_signature_unchanged,375,729,1104,3,0.04,1,1,3,0.003486726843315079,2.9072714776427258e-05,0.008338110807896199,0.24608336499999695,0.007062751999995953,0.039122202000001494,0.1998984109999995,0.03457354599999718,0.034469616000016856,0.0,2.7536000054340093e-05,2.4457999984406342e-05,0.00024446200001193574,0.0019253859999821543,0.002047192999981462,64,0.0005385877500002634,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,6.735999967588668e-06,0.19812267100000014,7.084099999588034e-05,0.000779512000001148,0.009861866999997915,1.3920000014877587e-06,0.0008503529999970283,1.3920000014877587e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009861866999997915,1.3920000014877587e-06,0.14587600099999776,2.719999999811762e-05,0.00017837200000059283,0.04238480300000447,4.364099999776272e-05,0.0006011400000005551,0.009861866999997915,0.14587600099999776,6.100999996760947e-06,0.14586375900000093,6.141000000070562e-06,64,0,375,729,7938,0.02903703703703704,243,150,0.3333333333333333,0.4,64,64,1.0,243,150,1.0,1.0,1.0,0.04238480300000447,2.719999999811762e-05,0.00017837200000059283,4.364099999776272e-05,0.0006011400000005551,1,1,1,1,1,1,1,1,0,1,0.0,0,0,1,0,0,0.0,0.0,0.0,0.034561632999981384,0.0,0.00798790500000024,0.22126802200000384,0.0001979580000011083,0.0,0.025054627999999468,0.0012801560000070822,3.113799999709954e-05,2.7680999998835887e-05,0.06440301199999965,0.06451140499999752,0.05954234700000427,0.40170376900000093,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,reuse_when_support_signature_unchanged,375,729,1104,3,0.04,2,1,3,2.907271477642276e-05,2.532955935008427e-07,0.008712485072300817,0.0703537309999902,0.00680515099999468,0.006845405999996501,0.056703173999999024,0.0018003249999978266,0.0017375680000100147,0.0,1.4509999978429278e-05,3.7939000037567894e-05,0.00030066800001549154,0.0020551389999781122,0.0022878999999917937,64,2.714950000015648e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,7.5599999860287426e-06,0.05270190799998886,0.00023567000000213056,0.00073412800000483,0.009500615999996853,1.4029999988451891e-06,0.0009697980000069606,1.4029999988451891e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009500615999996853,1.4029999988451891e-06,0.0,0.0,0.0,0.04320129199999201,0.00023567000000213056,0.00073412800000483,0.009500615999996853,0.0,0.0,0.0,0.0,64,0,375,729,7938,0.02903703703703704,243,150,0.3333333333333333,0.4,64,64,1.0,243,150,1.0,1.0,1.0,0.04320129199999201,0.0,0.0,0.00023567000000213056,0.00073412800000483,1,1,1,1,1,1,1,0,1,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0017897669999626942,0.0,0.00798790500000024,0.07910414499999519,0.0002197099999960983,0.0,0.025490519999998185,0.0014224709999979268,3.027700000046707e-05,2.758200000130273e-05,0.06299070099999682,0.06312355800000091,0.05835024200000305,0.22415342899999757,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,reuse_when_support_signature_unchanged,375,729,1104,3,0.04,3,1,3,2.53295570111615e-07,2.207718263979554e-09,0.008715976607907986,0.06954543500000909,0.006840659000005189,0.006299187999999845,0.05640558800000406,0.0018055549999971277,0.0017452090000347198,0.0,1.4507000045682616e-05,2.3221999981615227e-05,0.000229265999983852,0.0018875780000016107,0.002063739999982772,64,2.7268890625542497e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,6.591999991201192e-06,0.05232112699999192,0.00023081000000502172,0.0005341150000006678,0.009634362999996426,1.1320000012915443e-06,0.0007649250000056895,1.1320000012915443e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009634362999996426,1.1320000012915443e-06,0.0,0.0,0.0,0.04268676399999549,0.00023081000000502172,0.0005341150000006678,0.009634362999996426,0.0,0.0,0.0,0.0,64,0,375,729,7938,0.02903703703703704,243,150,0.3333333333333333,0.4,64,64,1.0,243,150,1.0,1.0,1.0,0.04268676399999549,0.0,0.0,0.00023081000000502172,0.0005341150000006678,1,1,1,1,1,1,1,0,1,0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0017958480000075383,0.0,0.00798790500000024,0.07796742899999742,0.00018876099999687312,0.0,0.025210900999994124,0.0011075030000000652,3.1958999997527826e-05,2.8301999996926952e-05,0.06417226300000323,0.06428240799999685,0.06600663100000048,0.23141827899999612,False,False,False,False,False,False,,,0,0,0,0,0
