mode,mesh_resolution,build_path,ndof_u,ndof_phi,total_dofs,linear_solver_mode,ksp_type,pc_type,block_pc_name,accepted_state_index,load_value,newton_iteration_within_load,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi
baseline,4x4x4,current,375,729,1104,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,2,0.02,1,2,3,0.004040188733215321,3.464326321892378e-05,0.008574664577947448,0.27743921200004706,0.006897565000031136,0.2587553349999894,0.2065403530000367,47.26999620600003,0.00034826900002826733,47.06866303300001,47.06866303300001,0.002045382000005702,0.0,0.26416894800001955,0.035189491000096496,0.2994770800000879,0.5525710289999779,48.399731488999976,False,False,False,False,False,0,0,0,0,0
baseline,4x4x4,current,375,729,1104,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,2,0.02,2,2,3,3.464326321892377e-05,3.155942834394408e-07,0.009109831295195324,0.6152046180001207,0.008426167000038731,0.5962800810000317,0.2080668030000652,46.247237696999946,0.0003026840000757147,46.036293243000046,46.036293243000046,0.008959112999946228,0.0,0.23845150600004672,0.03449913999997989,0.285058939999999,0.2526831680000896,47.40078161500003,False,False,False,False,False,0,0,0,0,0
baseline,4x4x4,current,375,729,1104,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,2,0.02,3,2,3,3.1559428343793775e-07,2.875692981036479e-09,0.009111993251937308,0.2986180670000067,0.0073354600000357095,0.2802787120000403,0.2089675739998711,45.059283818999916,0.0003405140000722895,44.854673212999955,44.854673212999955,0.0018438860000742352,0.0,0.2401829950000547,0.03454646199998024,0.27501405599991813,0.25310267299994393,45.886549134000006,False,False,False,False,False,0,0,0,0,0
baseline,4x4x4,current,375,729,1104,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,3,0.04,1,3,3,0.003486726843317205,2.9072714776776364e-05,0.00833811080799124,0.28976296100006493,0.007250171999999111,0.2714541600000757,0.20622820400001274,40.188510640000004,0.0002365610000651941,39.98753603700004,39.98753603700004,0.0016093880000198624,0.0,0.2425379009999915,0.03626247499994406,0.27891421999993327,0.2520847779999258,41.00949123600003,False,False,False,False,False,0,0,0,0,0
baseline,4x4x4,current,375,729,1104,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,3,0.04,2,2,3,2.907271477677187e-05,2.5329555169372425e-07,0.00871248363417712,0.29447790099993654,0.00723654599994461,0.2754843369999662,0.21575040999994144,39.08907185299995,0.0003225909999855503,38.87874038999996,38.87874038999996,0.0018296690000170202,0.0,0.2483857510000007,0.03641304500001752,0.2850512559999743,0.2525319970000055,39.92169483199996,False,False,False,False,False,0,0,0,0,0
baseline,4x4x4,current,375,729,1104,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,3,0.04,3,2,3,2.5329555168740237e-07,2.207762853477199e-09,0.00871615327931952,0.29706618600016554,0.007176455000035276,0.27849072800006525,0.21169549400008236,44.04021371800002,0.0002916529999765771,43.83365372499998,43.83365372499998,0.0016043000000536267,0.0,0.24461694399997214,0.03526550899994163,0.2801659409999502,0.2557289019999871,44.87374174200011,False,False,False,False,False,0,0,0,0,0
