mode,mesh_resolution,build_path,ndof_u,ndof_phi,total_dofs,linear_solver_mode,ksp_type,pc_type,block_pc_name,accepted_state_index,load_value,newton_iteration_within_load,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi
baseline,4x4x4,optimized,375,729,1104,krylov,gmres,ilu,global_ilu,2,0.02,1,1,3,0.004040188733215321,3.464326148051463e-05,0.008574664147668254,0.312248258000011,0.007716060000007019,0.2930602320000162,0.22825617999995984,0.24843632900001467,0.00026383200003010643,0.0,0.0253953049999609,0.0018272360000537446,4.3681000022388616e-05,7.155399998737266e-05,0.08082550900002161,0.08101765800000749,0.6031832799999961,1.2451508600000238,False,False,False,False,False,0,0,0,0,0
baseline,4x4x4,optimized,375,729,1104,krylov,gmres,ilu,global_ilu,2,0.02,2,1,3,3.4643261480514616e-05,3.1559426103524963e-07,0.00910983110561799,0.6723324370000228,0.008494711000025745,0.6517488669999807,0.21424437800004625,0.23388261699994928,0.0003478990000189697,0.0,0.025154116999999587,0.002162931999976081,4.5154000019920204e-05,1.9084999962615257e-05,0.06815106700003071,0.06828783199995314,0.27460358599995516,1.2497320379999906,False,False,False,False,False,0,0,0,0,0
baseline,4x4x4,optimized,375,729,1104,krylov,gmres,ilu,global_ilu,2,0.02,3,1,3,3.155942610337466e-07,2.875692730773067e-09,0.00911199310581116,0.3272748760000468,0.007319802000040454,0.3078629980000187,0.2300768240000366,0.2509311270000012,0.0002904510000121263,0.0,0.026667437000014615,0.0018536350000317725,4.129700005250925e-05,1.845499997443767e-05,0.07245618100000684,0.07258331700001008,0.2637065970000094,0.9150662189999821,False,False,False,False,False,0,0,0,0,0
baseline,4x4x4,optimized,375,729,1104,krylov,gmres,ilu,global_ilu,3,0.04,1,1,3,0.003486726843316954,2.907271477676495e-05,0.008338110807988566,0.31057395999999926,0.007439274000034857,0.2918439039999612,0.2174669240000071,0.2395481449999579,0.0003469569999765554,0.0,0.02663568899998836,0.00208411400001296,4.7127999948770594e-05,1.722199999676377e-05,0.0730778379999606,0.07319754100001319,0.2757807990000174,0.8993522449999887,False,False,False,False,False,0,0,0,0,0
baseline,4x4x4,optimized,375,729,1104,krylov,gmres,ilu,global_ilu,3,0.04,2,1,3,2.9072714776760453e-05,2.532955023467688e-07,0.008712481936817366,0.3206868749999785,0.007526556000016171,0.30175115499997673,0.21893748399998003,0.24034445699999196,0.00020823900001687434,0.0,0.025770448000002943,0.0011374200000204837,3.9452999999411986e-05,1.680100001522078e-05,0.06793625300002759,0.06805690700002742,0.2890867300000082,0.9187531079999758,False,False,False,False,False,0,0,0,0,0
baseline,4x4x4,optimized,375,729,1104,krylov,gmres,ilu,global_ilu,3,0.04,3,1,3,2.532955023404473e-07,2.2077622075702553e-09,0.008716152427384459,0.31885486699997045,0.007817740999996659,0.298389181999994,0.21238376699994888,0.23134959799995158,0.00032461500001090826,0.0,0.025095397000029607,0.0018799850000164042,4.4983999998748914e-05,1.7202000037741527e-05,0.06792907400000558,0.06804854599999999,0.43768152000001237,1.0565307420000067,False,False,False,False,False,0,0,0,0,0
