attempt_state_index,accepted_state_index,accepted,step,load_value,target_load,attempt_load,accepted_load_before_step,load_increment,converged,backend,build_path,linear_solver_mode,ksp_type,pc_type,block_pc_name,linear_converged,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,contact_quadrature_loop_time,contact_geometry_eval_time,contact_query_time,contact_gap_normal_eval_time,contact_active_filter_time,contact_local_residual_time,contact_local_tangent_uu_time,contact_local_tangent_uphi_time,contact_geometry_eval_call_count,contact_geometry_eval_avg_time,contact_query_avg_time,contact_query_call_count,contact_query_cache_hit_count,contact_query_cache_miss_count,contact_sensitivity_call_count,contact_sensitivity_cache_hit_count,contact_sensitivity_cache_miss_count,contact_sensitivity_time,contact_sensitivity_avg_time,contact_local_tangent_uphi_call_count,contact_local_tangent_uu_call_count,cell_geometry_cache_hit_count,cell_geometry_cache_miss_count,function_cell_dof_cache_hit_count,function_cell_dof_cache_miss_count,vector_subfunction_cache_hit_count,vector_subfunction_cache_miss_count,contact_scatter_to_global_time,phi_form_assembly_time,phi_matrix_extract_or_convert_time,phi_rhs_extract_or_convert_time,dofmap_lookup_time,surface_entity_iteration_time,basis_eval_or_tabulation_time,numpy_temp_allocation_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,load_step_walltime,newton_iterations,residual_norm,increment_norm,active_contact_points,negative_gap_sum,max_penetration,reaction_norm,mesh_resolution,ndof_u,ndof_phi,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,reuse_attempted,reuse_failed_stage,reuse_failure_message,linear_iterations_list,ksp_reason_list,outer_residual_norm_before_linear_list,outer_residual_norm_after_linear_list,relative_linear_reduction_list,assembly_time_list,struct_block_assembly_time_list,contact_block_assembly_time_list,phi_block_assembly_time_list,contact_quadrature_loop_time_list,contact_geometry_eval_time_list,contact_query_time_list,contact_gap_normal_eval_time_list,contact_active_filter_time_list,contact_local_residual_time_list,contact_local_tangent_uu_time_list,contact_local_tangent_uphi_time_list,contact_geometry_eval_call_count_list,contact_geometry_eval_avg_time_list,contact_query_avg_time_list,contact_query_call_count_list,contact_query_cache_hit_count_list,contact_query_cache_miss_count_list,contact_sensitivity_call_count_list,contact_sensitivity_cache_hit_count_list,contact_sensitivity_cache_miss_count_list,contact_sensitivity_time_list,contact_sensitivity_avg_time_list,contact_local_tangent_uphi_call_count_list,contact_local_tangent_uu_call_count_list,cell_geometry_cache_hit_count_list,cell_geometry_cache_miss_count_list,function_cell_dof_cache_hit_count_list,function_cell_dof_cache_miss_count_list,vector_subfunction_cache_hit_count_list,vector_subfunction_cache_miss_count_list,contact_scatter_to_global_time_list,phi_form_assembly_time_list,phi_matrix_extract_or_convert_time_list,phi_rhs_extract_or_convert_time_list,dofmap_lookup_time_list,surface_entity_iteration_time_list,basis_eval_or_tabulation_time_list,numpy_temp_allocation_time_list,block_build_time_list,bc_elimination_time_list,global_matrix_allocation_time_list,global_matrix_fill_time_list,global_rhs_build_time_list,petsc_object_setup_time_list,ksp_setup_time_list,ksp_solve_time_list,linear_solve_time_list,state_update_time_list,newton_step_walltime_list,cutback_level,step_length,cutback_triggered,cutback_reason,terminated_early,termination_reason,requested_final_target_load,final_accepted_load,reached_final_target,output_index
1,1,True,1,0.0,0.0,0.0,0.0,0.0,True,petsc_block,optimized,krylov,gmres,ilu,global_ilu,True,0,0,0.0,1.0127290217924556e-15,0.0,0.3191026509999979,0.01492627000000013,0.05502502099999873,0.24915135999999904,0.0399778760000018,0.03985425099999773,0.0,3.383299999981659e-05,2.2951000005377864e-05,0.00014864699999606046,0.0012563729999932605,0.0014022409999938645,64,0.0006227226718749646,0.0,0,0,0,0,0,0,0.0,0.0,40,40,0,0,0,0,0,0,4.21000001793459e-06,0.2369001019999999,0.008098238999998841,1.8639999979086497e-06,0.0,0.039962902000006295,0.0,0.009554471000001286,0.2773149040000007,0.00032728000000048496,0.0,0.02799255499999731,0.010923893000001073,0.0004205540000015162,0.0,0.0,0.0,0.0,0.0,0.3633382189999992,0,1.0127290217924556e-15,0.0,40,3.382482780750141e-17,1.1780167672049484e-16,7.441601948699272e-18,4x4x4,375,729,56088,15195,7544,7938,35937,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,False,,True,Reached max_load_steps=2,0.06,0.04,False,0
2,2,True,2,0.02,0.02,0.02,0.0,0.02,True,petsc_block,optimized,krylov,gmres,ilu,global_ilu,True,3,3,3.155942610337466e-07,2.875692730773067e-09,0.00911199310581116,0.2349459809999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24166112400000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07599039699999821,0.07748669900000138,0.4217828689999976,1.3315494440000002,3,2.875692730773067e-09,1.1530418609470772e-07,64,0.02000000000004424,0.020000000000082094,0.004040129892040644,4x4x4,375,729,0,0,0,0,0,False,False,False,False,False,False,,,1|1|1,3|3|3,4.0401887332153210e-03|3.4643261480514616e-05|3.1559426103374662e-07,3.4643261480514629e-05|3.1559426103524963e-07|2.8756927307730669e-09,8.5746641476682536e-03|9.1098311056179906e-03|9.1119931058111607e-03,2.6993280000000297e-01|2.4922626800000103e-01|2.3494598099999919e-01,7.9843970000013087e-03|9.2806210000020428e-03|8.0041409999971336e-03,4.1396278000000564e-02|7.1477179999988039e-03|7.1826430000001551e-03,2.2055212500000110e-01|2.3279792900000018e-01|2.1975919700000190e-01,3.5469804999998189e-02|1.9891059999999072e-03|2.0777219999992269e-03,3.5354824999998868e-02|1.9184220000099117e-03|2.0047660000130918e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,3.0207000005333384e-05|1.9798999986164745e-05|1.9277999978584148e-05,3.5911999976434572e-05|2.9481000005660007e-05|2.6908000005931854e-05,2.8283999999345610e-04|2.6559899999867298e-04|2.5666199998042316e-04,2.4017319999778408e-03|2.1378130000151430e-03|2.0616850000081399e-03,2.7368190000096604e-03|2.3259040000027653e-03|2.2897870000129217e-03,64|64|64,5.5241914062498232e-04|2.9975343750154870e-05|3.1324468750204559e-05,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,64|64|64,64|64|64,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,7.9849999998771182e-06|6.8609999814839284e-06|6.6809999914596574e-06,2.1572095200000163e-01|2.2702546500000054e-01|2.1558772599999187e-01,1.6926349999977219e-03|1.8769659999975374e-03|1.7864280000026156e-03,3.5060000023179327e-06|3.9369999988991822e-06|2.5139999983991856e-06,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,3.5457725000011209e-02|1.9785929999933671e-03|2.0665699999860010e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,9.5544710000012856e-03|9.5544710000012856e-03|9.5544710000012856e-03,2.4314485800000085e-01|2.5742050499999891e-01|2.4166112400000017e-01,4.5295400000000541e-04|3.5552200000310563e-04|2.7786800000129119e-04,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.6678796999998866e-02|2.6702148999998343e-02|2.5251765000000148e-02,2.9444460000043193e-03|3.0328300000022068e-03|2.8784440000038103e-03,5.1666000000949452e-05|3.4283999998052650e-05|5.6605000001042072e-05,7.7393999998065510e-05|3.1137999997099541e-05|6.1574000000064188e-05,8.9887104999998968e-02|8.1621916999999655e-02|7.5804501000000357e-02,9.0061410000000564e-02|8.1785141000001005e-02|7.5990396999998211e-02,7.5979100999997939e-02|7.1517468999999778e-02|7.7486699000001380e-02,4.7087886499999954e-01|4.3853011399999886e-01|4.2178286899999762e-01,0,1.0,False,,True,Reached max_load_steps=2,0.06,0.04,False,1
3,3,True,3,0.04,0.04,0.04,0.02,0.02,True,petsc_block,optimized,krylov,gmres,ilu,global_ilu,True,3,3,2.53295502342383e-07,2.207762206504144e-09,0.008716152423108886,0.22956362500000083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23556341500000144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06938149899999857,0.0753626539999992,0.4075401240000005,1.2638787540000003,3,2.207762206504144e-09,1.0122416849607581e-07,64,0.03999999999866171,0.0400000000007671,0.007481773054649275,4x4x4,375,729,0,0,0,0,0,False,False,False,False,False,False,,,1|1|1,3|3|3,3.4867268433169539e-03|2.9072714776759972e-05|2.5329550234238301e-07,2.9072714776764468e-05|2.5329550234870458e-07|2.2077622065041440e-09,8.3381108079884289e-03|8.7124819368840957e-03|8.7161524231088860e-03,2.6652993999999808e-01|2.4427775899999915e-01|2.2956362500000083e-01,8.5617519999985348e-03|9.6709270000019387e-03|7.9443820000015819e-03,4.8120073999999846e-02|6.7144809999994948e-03|8.2719930000010322e-03,2.0984811399999970e-01|2.2789235099999772e-01|2.1334724999999821e-01,4.2189484000001443e-02|1.9025859999999284e-03|2.8877120000032619e-03,4.2040572000015430e-02|1.8302379999894924e-03|2.7924570000052995e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,3.2701999987949648e-05|1.8587000017333821e-05|2.6167000015675512e-05,2.9696000019896474e-05|2.5510999996924966e-05|3.3484000020678195e-05,4.4057500001670746e-04|2.3522500000083824e-04|2.9025099999557824e-04,2.1434429999942495e-03|1.9575429999783012e-03|2.2635880000052566e-03,2.4065560000181563e-03|2.1315240000099323e-03|2.3893799999861187e-03,64|64|64,6.5688393750024110e-04|2.8597468749835819e-05|4.3632140625082805e-05,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,64|64|64,64|64|64,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,6.6319999874053792e-06|5.9880000122802812e-06|6.8740000287448311e-06,2.0801016900000135e-01|2.2383787700000468e-01|2.1057827999999290e-01,1.3427919999990934e-03|1.6145879999989177e-03|1.3742310000033342e-03,3.8869999983148773e-06|2.0640000002458692e-06|1.7929999991395107e-06,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,4.2175828000001303e-02|1.8908920000164642e-03|2.8737050000060549e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,9.5544710000012856e-03|9.5544710000012856e-03|9.5544710000012856e-03,2.3293613799999946e-01|2.5057990099999827e-01|2.3556341500000144e-01,3.0719300000114913e-04|2.9242500000137284e-04|6.1809199999984799e-04,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.6889279000002375e-02|2.5909432000002397e-02|2.5758792000001307e-02,2.4518589999971141e-03|2.3679130000040516e-03|2.6087100000005137e-03,5.0694000002238226e-05|4.6356999998664605e-05|4.5615000001220096e-05,3.3401999999682630e-05|3.1257999999922959e-05|3.0997999999726744e-05,7.1278332999998639e-02|7.2937203999998701e-02|6.9242799999997828e-02,7.1413495999998133e-02|7.3098935000000864e-02|6.9381498999998570e-02,6.8889723000001624e-02|6.4123392000002610e-02|7.5362653999999196e-02,4.4119049000000032e-01|4.1479081299999976e-01|4.0754012400000050e-01,0,1.0,False,,True,Reached max_load_steps=2,0.06,0.04,False,2
