attempt_state_index,accepted_state_index,accepted,step,load_value,target_load,attempt_load,accepted_load_before_step,load_increment,converged,backend,build_path,linear_solver_mode,ksp_type,pc_type,block_pc_name,linear_converged,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,contact_quadrature_loop_time,contact_geometry_eval_time,contact_query_time,contact_gap_normal_eval_time,contact_active_filter_time,contact_local_residual_time,contact_local_tangent_uu_time,contact_local_tangent_uphi_time,contact_geometry_eval_call_count,contact_geometry_eval_avg_time,contact_query_avg_time,contact_query_call_count,contact_query_cache_hit_count,contact_query_cache_miss_count,contact_sensitivity_call_count,contact_sensitivity_cache_hit_count,contact_sensitivity_cache_miss_count,contact_sensitivity_time,contact_sensitivity_avg_time,contact_local_tangent_uphi_call_count,contact_local_tangent_uu_call_count,cell_geometry_cache_hit_count,cell_geometry_cache_miss_count,function_cell_dof_cache_hit_count,function_cell_dof_cache_miss_count,vector_subfunction_cache_hit_count,vector_subfunction_cache_miss_count,contact_scatter_to_global_time,phi_form_assembly_time,phi_matrix_extract_or_convert_time,phi_rhs_extract_or_convert_time,dofmap_lookup_time,surface_entity_iteration_time,basis_eval_or_tabulation_time,numpy_temp_allocation_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,load_step_walltime,newton_iterations,residual_norm,increment_norm,active_contact_points,negative_gap_sum,max_penetration,reaction_norm,mesh_resolution,ndof_u,ndof_phi,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,reuse_attempted,reuse_failed_stage,reuse_failure_message,linear_iterations_list,ksp_reason_list,outer_residual_norm_before_linear_list,outer_residual_norm_after_linear_list,relative_linear_reduction_list,assembly_time_list,struct_block_assembly_time_list,contact_block_assembly_time_list,phi_block_assembly_time_list,contact_quadrature_loop_time_list,contact_geometry_eval_time_list,contact_query_time_list,contact_gap_normal_eval_time_list,contact_active_filter_time_list,contact_local_residual_time_list,contact_local_tangent_uu_time_list,contact_local_tangent_uphi_time_list,contact_geometry_eval_call_count_list,contact_geometry_eval_avg_time_list,contact_query_avg_time_list,contact_query_call_count_list,contact_query_cache_hit_count_list,contact_query_cache_miss_count_list,contact_sensitivity_call_count_list,contact_sensitivity_cache_hit_count_list,contact_sensitivity_cache_miss_count_list,contact_sensitivity_time_list,contact_sensitivity_avg_time_list,contact_local_tangent_uphi_call_count_list,contact_local_tangent_uu_call_count_list,cell_geometry_cache_hit_count_list,cell_geometry_cache_miss_count_list,function_cell_dof_cache_hit_count_list,function_cell_dof_cache_miss_count_list,vector_subfunction_cache_hit_count_list,vector_subfunction_cache_miss_count_list,contact_scatter_to_global_time_list,phi_form_assembly_time_list,phi_matrix_extract_or_convert_time_list,phi_rhs_extract_or_convert_time_list,dofmap_lookup_time_list,surface_entity_iteration_time_list,basis_eval_or_tabulation_time_list,numpy_temp_allocation_time_list,block_build_time_list,bc_elimination_time_list,global_matrix_allocation_time_list,global_matrix_fill_time_list,global_rhs_build_time_list,petsc_object_setup_time_list,ksp_setup_time_list,ksp_solve_time_list,linear_solve_time_list,state_update_time_list,newton_step_walltime_list,cutback_level,step_length,cutback_triggered,cutback_reason,terminated_early,termination_reason,requested_final_target_load,final_accepted_load,reached_final_target,output_index
1,1,True,1,0.0,0.0,0.0,0.0,0.0,True,petsc_block,optimized,krylov,gmres,ilu,global_ilu,True,0,0,0.0,1.0127290217924556e-15,0.0,0.2629755749999987,0.010480732000004878,0.04580256999999932,0.2066922729999945,0.03292063500000353,0.032816214000042976,0.0,2.768699999933233e-05,2.0238999972832517e-05,0.00013572399999617346,0.0011682669999970585,0.0013266590000071687,64,0.0005127533437506715,0.0,0,0,0,0,0,0,0.0,0.0,40,40,0,0,0,0,0,0,4.001000014852707e-06,0.19766622200000228,0.0059578530000052865,1.6329999965591924e-06,0.0,0.03290826999998586,0.0,0.00798790500000024,0.23400106099999363,0.00019635600000356135,0.0,0.024461452000004158,0.007935919000004787,0.00034521399999931646,0.0,0.0,0.0,0.0,0.0,0.30109876699999916,0,1.0127290217924556e-15,0.0,40,3.382482780750141e-17,1.1780167672049484e-16,7.441601948699272e-18,4x4x4,375,729,56088,15195,7544,7938,35937,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,False,,True,Reached max_load_steps=2,0.06,0.04,False,0
2,2,True,2,0.02,0.02,0.02,0.0,0.02,True,petsc_block,optimized,krylov,gmres,ilu,global_ilu,True,3,3,3.155943413165834e-07,2.875654211367328e-09,0.009111868734308711,0.07543541100000084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08291698200000042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06751339799999556,0.06448099800000051,0.23901042500000358,0.9276757660000001,3,2.875654211367328e-09,1.1577932904911703e-07,64,0.02000000000015158,0.020000000000184124,0.004040129892084249,4x4x4,375,729,0,0,0,0,0,False,False,False,False,False,False,,,1|1|1,3|3|3,4.0401887332153210e-03|3.4643261480514616e-05|3.1559434131658339e-07,3.4643261480514629e-05|3.1559438196266257e-07|2.8756542113673279e-09,8.5746641476682536e-03|9.1098345962654578e-03|9.1118687343087115e-03,2.4166873800000133e-01|7.5846368000000552e-02|7.5435411000000840e-02,7.2215470000003279e-03|8.4382239999953867e-03|7.1258790000001682e-03,3.6396584000002008e-02|6.5327240000030429e-03|6.9370770000034554e-03,1.9805060699999899e-01|6.0875420000002123e-02|6.1372454999997217e-02,3.1236709000005192e-02|1.8161350000056586e-03|2.3516520000015362e-03,3.1131065000039371e-02|1.7525220000180752e-03|2.2722319999886054e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.8520000036280635e-05|1.4893999967569016e-05|1.8060999998681382e-05,7.5208000019699739e-05|2.6216999984285394e-05|2.3465000005273851e-05,2.6442199998655269e-04|2.3726399999191017e-04|2.3162400000842354e-04,2.1108000000111815e-03|1.9962999999947328e-03|1.9076889999922741e-03,2.3100679999927820e-03|2.1598889999765447e-03|2.0991209999721150e-03,64|64|64,4.8642289062561517e-04|2.7383156250282426e-05|3.5503624999821959e-05,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,64|64|64,64|64|64,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,7.5330000157691757e-06|6.8900000158578223e-06|6.5860000049156042e-06,1.9434504099999117e-01|5.3009370999994587e-02|5.3429305000001648e-02,1.2590460000012627e-03|1.1162500000025943e-03|2.0183299999985138e-03,1.3419999973507402e-06|1.7830000018648207e-06|1.0919999979819295e-06,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,3.1224518000023238e-02|1.8047849999689447e-03|2.3412920000396298e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,7.9879050000002394e-03|7.9879050000002394e-03|7.9879050000002394e-03,2.1957607099999876e-01|8.2844256000001337e-02|8.2916982000000417e-02,1.8963300000507388e-04|2.0597400000355037e-04|1.9040400000136515e-04,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.5084446000001037e-02|2.5517432000000895e-02|2.4482951999999614e-02,1.2423949999984529e-03|1.4190439999950399e-03|1.0965240000047061e-03,3.0086000002427227e-05|3.4443999993527541e-05|3.1208000002891367e-05,7.0180999998115112e-05|2.8823999997484862e-05|2.9273999999190892e-05,9.2773768999997230e-02|6.8109930000005647e-02|6.7393365000000927e-02,9.2960056999999097e-02|6.8218010999999024e-02|6.7513397999995561e-02,6.5918506999999238e-02|7.8089816999998618e-02|6.4480998000000511e-02,4.3220701999999989e-01|2.5457277699999992e-01|2.3901042500000358e-01,0,1.0,False,,True,Reached max_load_steps=2,0.06,0.04,False,1
3,3,True,3,0.04,0.04,0.04,0.02,0.02,True,petsc_block,optimized,krylov,gmres,ilu,global_ilu,True,3,3,2.53295570111615e-07,2.207718263979554e-09,0.008715976607907986,0.06954543500000909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07796742899999742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06428240799999685,0.06600663100000048,0.23141827899999612,0.8589973059999991,3,2.207718263979554e-09,1.0148225061018582e-07,64,0.03999999999879748,0.040000000000899025,0.007481773054700518,4x4x4,375,729,0,0,0,0,0,False,False,False,False,False,False,,,1|1|1,3|3|3,3.4867268433150791e-03|2.9072714776422761e-05|2.5329557011161501e-07,2.9072714776427258e-05|2.5329559350084272e-07|2.2077182639795539e-09,8.3381108078961989e-03|8.7124850723008171e-03|8.7159766079079864e-03,2.4608336499999695e-01|7.0353730999990205e-02|6.9545435000009093e-02,7.0627519999959532e-03|6.8051509999946802e-03|6.8406590000051892e-03,3.9122202000001494e-02|6.8454059999965011e-03|6.2991879999998446e-03,1.9989841099999950e-01|5.6703173999999024e-02|5.6405588000004059e-02,3.4573545999997179e-02|1.8003249999978266e-03|1.8055549999971277e-03,3.4469616000016856e-02|1.7375680000100147e-03|1.7452090000347198e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.7536000054340093e-05|1.4509999978429278e-05|1.4507000045682616e-05,2.4457999984406342e-05|3.7939000037567894e-05|2.3221999981615227e-05,2.4446200001193574e-04|3.0066800001549154e-04|2.2926599998385200e-04,1.9253859999821543e-03|2.0551389999781122e-03|1.8875780000016107e-03,2.0471929999814620e-03|2.2878999999917937e-03|2.0637399999827721e-03,64|64|64,5.3858775000026338e-04|2.7149500000156479e-05|2.7268890625542497e-05,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,64|64|64,64|64|64,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0,6.7359999675886684e-06|7.5599999860287426e-06|6.5919999912011917e-06,1.9812267100000014e-01|5.2701907999988862e-02|5.2321126999991918e-02,8.5035299999702829e-04|9.6979800000696059e-04|7.6492500000568953e-04,1.3920000014877587e-06|1.4029999988451891e-06|1.1320000012915443e-06,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,3.4561632999981384e-02|1.7897669999626942e-03|1.7958480000075383e-03,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,7.9879050000002394e-03|7.9879050000002394e-03|7.9879050000002394e-03,2.2126802200000384e-01|7.9104144999995185e-02|7.7967428999997423e-02,1.9795800000110830e-04|2.1970999999609830e-04|1.8876099999687312e-04,0.0000000000000000e+00|0.0000000000000000e+00|0.0000000000000000e+00,2.5054627999999468e-02|2.5490519999998185e-02|2.5210900999994124e-02,1.2801560000070822e-03|1.4224709999979268e-03|1.1075030000000652e-03,3.1137999997099541e-05|3.0277000000467069e-05|3.1958999997527826e-05,2.7680999998835887e-05|2.7582000001302731e-05|2.8301999996926952e-05,6.4403011999999649e-02|6.2990700999996818e-02|6.4172263000003227e-02,6.4511404999997524e-02|6.3123558000000912e-02|6.4282407999996849e-02,5.9542347000004270e-02|5.8350242000003050e-02|6.6006631000000482e-02,4.0170376900000093e-01|2.2415342899999757e-01|2.3141827899999612e-01,0,1.0,False,,True,Reached max_load_steps=2,0.06,0.04,False,2
