attempt_state_index,accepted_state_index,accepted,step,load_value,target_load,attempt_load,accepted_load_before_step,load_increment,converged,backend,linear_solver_mode,ksp_type,pc_type,block_pc_name,linear_converged,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,newton_iterations,residual_norm,increment_norm,active_contact_points,negative_gap_sum,max_penetration,reaction_norm,mesh_resolution,ndof_u,ndof_phi,linear_iterations_list,ksp_reason_list,outer_residual_norm_before_linear_list,outer_residual_norm_after_linear_list,relative_linear_reduction_list,cutback_level,step_length,cutback_triggered,cutback_reason,terminated_early,termination_reason,requested_final_target_load,final_accepted_load,reached_final_target,output_index
1,1,True,1,0.0,0.0,0.0,0.0,0.0,True,petsc_block,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,True,0,0,0.0,1.0127290217924556e-15,0.0,0,1.0127290217924556e-15,0.0,40,3.382482780750141e-17,1.1780167672049484e-16,7.441601948699272e-18,4x4x4,375,729,,,,,,0,0.0,False,,False,completed_schedule,0.06,0.06,True,0
2,2,True,2,0.02,0.02,0.02,0.0,0.02,True,petsc_block,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,True,6,3,3.1559428343793775e-07,2.875692981036479e-09,0.009111993251937308,3,2.875692981036479e-09,1.1530418706441917e-07,64,0.020000000000044243,0.020000000000082094,0.004040129892040646,4x4x4,375,729,2|2|2,3|3|3,4.0401887332153210e-03|3.4643263218923769e-05|3.1559428343793775e-07,3.4643263218923783e-05|3.1559428343944081e-07|2.8756929810364789e-09,8.5746645779474478e-03|9.1098312951953236e-03|9.1119932519373083e-03,0,1.0,False,,False,completed_schedule,0.06,0.06,True,1
3,3,True,3,0.04,0.04,0.04,0.02,0.02,True,petsc_block,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,True,7,3,2.5329555168740237e-07,2.207762853477199e-09,0.00871615327931952,3,2.207762853477199e-09,1.0122416845833025e-07,64,0.039999999998661696,0.0400000000007671,0.007481773054649274,4x4x4,375,729,3|2|2,3|3|3,3.4867268433172050e-03|2.9072714776771871e-05|2.5329555168740237e-07,2.9072714776776364e-05|2.5329555169372425e-07|2.2077628534771992e-09,8.3381108079912392e-03|8.7124836341771206e-03|8.7161532793195197e-03,0,1.0,False,,False,completed_schedule,0.06,0.06,True,2
4,4,True,4,0.06,0.06,0.06,0.04,0.019999999999999997,True,petsc_block,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,True,7,3,2.1766047326198957e-07,1.811135997747923e-09,0.008320922814350073,3,1.811135997747923e-09,8.852349920216501e-08,64,0.059999999982847815,0.06000000000324837,0.010459633531019658,4x4x4,375,729,3|2|2,3|3|3,3.1547036411318625e-03|2.6166661370940374e-05|2.1766047326198957e-07,2.6166661370997058e-05|2.1766047327573609e-07|1.8111359977479230e-09,8.2944911305864646e-03|8.3182363309619971e-03|8.3209228143500732e-03,0,1.0,False,,False,completed_schedule,0.06,0.06,True,3
