attempt_state_index,accepted_state_index,accepted,step,load_value,target_load,attempt_load,accepted_load_before_step,load_increment,converged,backend,linear_solver_mode,ksp_type,pc_type,block_pc_name,linear_converged,linear_iterations,ksp_reason,newton_iterations,residual_norm,increment_norm,active_contact_points,negative_gap_sum,max_penetration,reaction_norm,cutback_level,step_length,cutback_triggered,cutback_reason,terminated_early,termination_reason,requested_final_target_load,final_accepted_load,reached_final_target,output_index
1,1,True,1,0.0,0.0,0.0,0.0,0.0,True,petsc_block,lu,preonly,lu,global_lu,True,0,0,0,1.0127019602985412e-15,0.0,12,2.2165486011046976e-18,4.099248886479248e-17,7.524967553030717e-19,0,0.0,False,,False,completed_schedule,0.06,0.06,True,0
2,2,True,2,0.02,0.02,0.02,0.0,0.02,True,petsc_block,lu,preonly,lu,global_lu,True,3,4,3,2.8756927315283754e-09,1.1530418609438453e-07,64,0.020000000000044205,0.02000000000008203,0.004040129892040643,0,1.0,False,,False,completed_schedule,0.06,0.06,True,1
3,3,True,3,0.04,0.04,0.04,0.02,0.02,True,petsc_block,lu,preonly,lu,global_lu,True,3,4,3,2.2077622050300304e-09,1.0122416849650843e-07,64,0.03999999999866169,0.04000000000076706,0.0074817730546492805,0,1.0,False,,False,completed_schedule,0.06,0.06,True,2
4,4,True,4,0.06,0.06,0.06,0.04,0.019999999999999997,True,petsc_block,lu,preonly,lu,global_lu,True,3,4,3,1.8111349038744708e-09,8.852349925759999e-08,64,0.059999999982847836,0.06000000000324837,0.01045963353101967,0,1.0,False,,False,completed_schedule,0.06,0.06,True,3
