mode,mesh_resolution,build_path,linear_solver_mode,ksp_type,pc_type,block_pc_name,ndof_u,ndof_phi,total_dofs,accepted_state_index,load_value,newton_iteration_within_load,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,contact_quadrature_loop_time,contact_geometry_eval_time,contact_query_time,contact_gap_normal_eval_time,contact_active_filter_time,contact_local_residual_time,contact_local_tangent_uu_time,contact_local_tangent_uphi_time,contact_geometry_eval_call_count,contact_geometry_eval_avg_time,contact_query_avg_time,contact_query_call_count,contact_query_cache_hit_count,contact_query_cache_miss_count,contact_sensitivity_call_count,contact_sensitivity_cache_hit_count,contact_sensitivity_cache_miss_count,contact_sensitivity_time,contact_sensitivity_avg_time,contact_local_tangent_uphi_call_count,contact_local_tangent_uu_call_count,cell_geometry_cache_hit_count,cell_geometry_cache_miss_count,function_cell_dof_cache_hit_count,function_cell_dof_cache_miss_count,vector_subfunction_cache_hit_count,vector_subfunction_cache_miss_count,contact_scatter_to_global_time,phi_form_assembly_time,phi_matrix_extract_time,phi_matrix_convert_time,phi_rhs_assembly_time,phi_rhs_extract_time,phi_matrix_extract_or_convert_time,phi_rhs_extract_or_convert_time,phi_dof_lookup_time,phi_geometry_helper_time,phi_basis_tabulation_time,phi_form_call_count,phi_form_cache_hit_count,phi_form_cache_miss_count,phi_matrix_extract_call_count,phi_matrix_convert_call_count,phi_rhs_extract_call_count,phi_dof_lookup_call_count,phi_basis_tabulation_call_count,phi_residual_form_assembly_time,phi_residual_extract_time,phi_kphiu_form_assembly_time,phi_kphiu_extract_time,phi_kphiu_convert_time,phi_kphiphi_form_assembly_time,phi_kphiphi_extract_time,phi_kphiphi_convert_time,phi_form_time_R_phi,phi_form_time_K_phi_u,phi_form_time_K_phi_phi,phi_extract_time_K_phi_u,phi_convert_time_K_phi_u,phi_extract_time_K_phi_phi,phi_convert_time_K_phi_phi,phi_form_call_count_R_phi,phi_form_call_count_K_phi_u,phi_form_call_count_K_phi_phi,phi_matrix_extract_call_count_K_phi_u,phi_matrix_convert_call_count_K_phi_u,phi_matrix_extract_call_count_K_phi_phi,phi_matrix_convert_call_count_K_phi_phi,phi_scatter_pattern_build_time,phi_scatter_pattern_build_count,dofmap_lookup_time,surface_entity_iteration_time,basis_eval_or_tabulation_time,numpy_temp_allocation_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,reuse_attempted,reuse_failed_stage,reuse_failure_message,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,2,0.02,1,2,3,0.004040188733215321,3.464326321892378e-05,0.008574664577947448,0.26394501899994793,0.008930482999858214,0.044015956000293954,0.21099857999979577,0.038211960999888106,0.03808131400137427,0.0,3.41919999300444e-05,9.50720004766481e-05,0.00030756200294490554,0.0024437909992229834,0.0025106499988396536,64,0.0005950205312714729,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,7.612000445078593e-06,0.20751870599997346,0.00039882399960333714,0.0008780760003901378,0.010259419999783859,3.1859999580774456e-06,0.001276899999993475,3.1859999580774456e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.010259419999783859,3.1859999580774456e-06,0.15173701300000175,2.6188999981968664e-05,0.00021787600007883157,0.04552227300018785,0.0003726349996213685,0.0006602000003113062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.03819551599872284,0.0,0.008059751000018878,0.23440374800020436,0.0004699050000454008,0.0,0.026524129999870638,0.002155556999696273,3.937300016332301e-05,0.2786646079998718,0.03457487299965578,0.3133786109997345,0.06686024799955703,0.6782870229999389,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,2,0.02,2,2,3,3.464326321892377e-05,3.15594283439447e-07,0.009109831295195502,0.21336069200015118,0.008333231000051455,0.007047221999982867,0.19798023900011685,0.0019548330001271097,0.0018894940003519878,0.0,1.6355999377992703e-05,2.973300024677883e-05,0.0002530629999455414,0.002119694999692001,0.0023469910001949756,64,2.952334375549981e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,6.349999239319004e-06,0.19397777000085625,0.0001657189995967201,0.0010100319996126927,0.009685039000032702,1.692999830993358e-06,0.0011757509992094128,1.692999830993358e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009685039000032702,1.692999830993358e-06,0.14172089600060644,2.88439996438683e-05,0.00035461099969325005,0.042571835000217106,0.0001368749999528518,0.0006554209999194427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.001945854000041436,0.0,0.008059751000018878,0.22047843499967712,0.00038120999988677795,0.0,0.025533592000101635,0.0022026340002412326,5.631500016534119e-05,0.32362224999997125,0.03688782400013224,0.3615675450000708,0.06859161500005939,0.6760652520001713,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,2,0.02,3,2,3,3.15594283437944e-07,2.875692980533647e-09,0.009111993250343842,0.22377610100011225,0.008961934000126348,0.0066549630000736215,0.20815920399991228,0.0020499399997788714,0.001979488999950263,0.0,1.6211000456678448e-05,2.4510998628102243e-05,0.0002325689993085689,0.0019478410008559877,0.002061562999188027,64,3.092951562422286e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,5.913998393225484e-06,0.20679169499999261,8.194300062314142e-05,0.0008083359994088823,0.012014145000193821,4.607999926520279e-06,0.0008902790000320238,4.607999926520279e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.012014145000193821,4.607999926520279e-06,0.15091272500012565,3.0547000278602354e-05,0.0001960359995791805,0.043864824999673147,5.139600034453906e-05,0.0006122999998297018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0020395340006871265,0.0,0.008059751000018878,0.22938041599991266,0.00032119799971042085,0.0,0.02669924700012416,0.001822756999899866,4.7809000079723774e-05,0.23998155300023427,0.033740416999989975,0.27397275699968304,0.0611573290002525,0.5925593719998687,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,3,0.04,1,3,3,0.003486726843317205,2.9072714776779962e-05,0.008338110807992271,0.24214942499975223,0.00762096099970222,0.03807432499979768,0.19645413900025233,0.03369253899973046,0.03358903899697907,0.0,2.6848998004425084e-05,2.4889001451811055e-05,0.00022557999909622595,0.001814963002289005,0.0019142480009577412,64,0.000524828734327798,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,5.417000920715509e-06,0.19508942500078774,0.0001639959996282414,0.0008530789996257226,0.009292608000123437,1.5629998415533919e-06,0.001017074999253964,1.5629998415533919e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009292608000123437,1.5629998415533919e-06,0.14249822600004336,3.0145999971864512e-05,0.00016325399974448374,0.043298591000620945,0.0001338499996563769,0.0006898249998812389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.03368038299822729,0.0,0.008059751000018878,0.2188044979998267,0.0003181120000590454,0.0,0.02513316600015969,0.0022961800004850375,5.062499985797331e-05,0.23405883500026903,0.034751922999930684,0.2689106340003491,0.06022169700008817,0.6031817420002881,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,3,0.04,2,2,3,2.9072714776775463e-05,2.5329555169015237e-07,0.008712483634053183,0.20922503399970083,0.007163869000123668,0.006363578999753372,0.1956975859998238,0.001829950000228564,0.0017649629994593852,0.0,1.5079997865541372e-05,2.4277003376482753e-05,0.0002406959974905476,0.0018916629978775745,0.002045723997980531,64,2.7577546866552893e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,6.361001851473702e-06,0.1943659939997815,8.712099997865153e-05,0.0008365900002900162,0.00991190100012318,2.5949998416763265e-06,0.0009237110002686677,2.5949998416763265e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.00991190100012318,2.5949998416763265e-06,0.14066305499954979,3.0436000088229775e-05,0.00019042500025534537,0.04379103800010853,5.668499989042175e-05,0.0006461650000346708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0018201900024905626,0.0,0.008059751000018878,0.21711681299984775,0.0003043870001420146,0.0,0.02500092299987955,0.0018847320002350898,4.2179000047326554e-05,0.23115577699991263,0.03350789399974019,0.26487482299990006,0.05972075299996504,0.5655128909997984,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,3,0.04,3,2,3,2.5329555168383054e-07,2.207762855737312e-09,0.008716153288365258,0.20924021399969206,0.007171826000103465,0.006316068999694835,0.19575231899989376,0.0018553669997345423,0.0017900609996104322,0.0,1.5560999599983916e-05,2.455300091241952e-05,0.00023726399967927136,0.001868108000508073,0.0020431859989002987,64,2.7969703118913003e-05,0.0,0,0,0,0,0,0,0.0,0.0,64,64,0,0,0,0,0,0,5.72800172449206e-06,0.19459432100029517,7.813499996700557e-05,0.0006737960002283216,0.009833806000187906,2.8550002753036097e-06,0.0007519310001953272,2.8550002753036097e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009833806000187906,2.8550002753036097e-06,0.14165469399995345,3.0155999866110506e-05,0.00017545700029586442,0.04310582100015381,4.7979000100895064e-05,0.0004983389999324572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0018463240003256942,0.0,0.008059751000018878,0.21635562400024355,0.00027108600033898256,0.0,0.024452356999972835,0.0014928819996384846,3.747000027942704e-05,0.2300520279995908,0.033103691000178515,0.2633607919997303,0.05728419399974882,0.5606460349999907,False,False,False,False,False,False,,,0,0,0,0,0
