mode,mesh_resolution,build_path,linear_solver_mode,ksp_type,pc_type,block_pc_name,ndof_u,ndof_phi,total_dofs,accepted_state_index,load_value,newton_iteration_within_load,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,contact_quadrature_loop_time,contact_geometry_eval_time,contact_query_time,contact_gap_normal_eval_time,contact_active_filter_time,contact_local_residual_time,contact_local_tangent_uu_time,contact_local_tangent_uphi_time,contact_geometry_eval_call_count,contact_geometry_eval_avg_time,contact_query_avg_time,contact_query_call_count,contact_query_cache_hit_count,contact_query_cache_miss_count,contact_sensitivity_call_count,contact_sensitivity_cache_hit_count,contact_sensitivity_cache_miss_count,contact_sensitivity_time,contact_sensitivity_avg_time,contact_local_tangent_uphi_call_count,contact_local_tangent_uu_call_count,cell_geometry_cache_hit_count,cell_geometry_cache_miss_count,function_cell_dof_cache_hit_count,function_cell_dof_cache_miss_count,vector_subfunction_cache_hit_count,vector_subfunction_cache_miss_count,contact_scatter_to_global_time,phi_form_assembly_time,phi_matrix_extract_time,phi_matrix_convert_time,phi_rhs_assembly_time,phi_rhs_extract_time,phi_matrix_extract_or_convert_time,phi_rhs_extract_or_convert_time,phi_dof_lookup_time,phi_geometry_helper_time,phi_basis_tabulation_time,phi_form_call_count,phi_form_cache_hit_count,phi_form_cache_miss_count,phi_matrix_extract_call_count,phi_matrix_convert_call_count,phi_rhs_extract_call_count,phi_dof_lookup_call_count,phi_basis_tabulation_call_count,phi_residual_form_assembly_time,phi_residual_extract_time,phi_kphiu_form_assembly_time,phi_kphiu_extract_time,phi_kphiu_convert_time,phi_kphiphi_form_assembly_time,phi_kphiphi_extract_time,phi_kphiphi_convert_time,phi_form_time_R_phi,phi_form_time_K_phi_u,phi_form_time_K_phi_phi,phi_extract_time_K_phi_u,phi_convert_time_K_phi_u,phi_extract_time_K_phi_phi,phi_convert_time_K_phi_phi,phi_form_call_count_R_phi,phi_form_call_count_K_phi_u,phi_form_call_count_K_phi_phi,phi_matrix_extract_call_count_K_phi_u,phi_matrix_convert_call_count_K_phi_u,phi_matrix_extract_call_count_K_phi_phi,phi_matrix_convert_call_count_K_phi_phi,phi_scatter_pattern_build_time,phi_scatter_pattern_build_count,dofmap_lookup_time,surface_entity_iteration_time,basis_eval_or_tabulation_time,numpy_temp_allocation_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,reuse_attempted,reuse_failed_stage,reuse_failure_message,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,2,0.02,1,1,3,0.004040188733215321,3.464326148051463e-05,0.008574664147668254,0.2357066859999577,0.0074319000000286906,0.035516558999916015,0.192758227000013,0.030828543000097852,0.030740853999304818,0.018057962002330896,2.5085001198021928e-05,2.645400309120305e-05,0.00022379200026989565,0.0019076570001743676,0.001989662001051329,64,0.0004803258437391378,0.00028215565628642025,64,0,64,64,0,64,0.011633843999788951,0.00018177881249670236,64,64,384,0,576,0,128,0,5.658997906721197e-06,0.1909328049996475,0.0003696779999700084,0.001082797999970353,0.009370392999699106,1.3819999367115088e-06,0.0014524759999403614,1.3819999367115088e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009370392999699106,1.3819999367115088e-06,0.13923027500004537,0.00011890099995071068,0.0003904069999407511,0.042332136999903014,0.0002507770000192977,0.0006923910000296019,0.009370392999699106,0.13923027500004537,0.042332136999903014,0.00011890099995071068,0.0003904069999407511,0.0002507770000192977,0.0006923910000296019,1,1,1,1,1,1,1,0.0,0.0,0.0,0.030817077999927278,0.005055425001501135,0.009273251003833138,0.21335420800005522,0.0002422320003461209,0.0,0.024285988999963593,0.001621232000161399,4.232800029058126e-05,9.572799990564818e-05,0.07533207500000572,0.07551944400029242,0.061868736000178615,0.40332220499976756,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,2,0.02,2,1,3,3.4643261480514616e-05,3.1559426103524963e-07,0.00910983110561799,0.24383388599972022,0.007957660000101896,0.04089658299972143,0.1949796429998969,0.03624288999981218,0.036151950002022204,0.021434228999623883,2.4847998247423675e-05,2.5002999336720677e-05,0.0002530270003262558,0.0018516060035835835,0.0019964200000686105,64,0.0005648742187815969,0.0003349098281191232,64,0,64,64,0,64,0.013576568001099076,0.00021213387501717307,64,64,446,0,700,0,159,0,6.318998202914372e-06,0.1908265430006395,0.0003309369999442424,0.001087976999770035,0.0095895389999896,2.184000095439842e-06,0.0014189139997142775,2.184000095439842e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.0095895389999896,2.184000095439842e-06,0.13998291400002927,0.00012317000027906033,0.00039547699998365715,0.041254090000620636,0.00020776699966518208,0.0006924999997863779,0.0095895389999896,0.13998291400002927,0.041254090000620636,0.00012317000027906033,0.00039547699998365715,0.00020776699966518208,0.0006924999997863779,1,1,1,1,1,1,1,0.0,0.0,0.0,0.03622897700097383,0.006342742000015278,0.00936817600768336,0.21577150099983555,0.000200062999738293,0.0,0.024653302999922744,0.0012223980002090684,4.4392999825504376e-05,2.689099983399501e-05,0.06461722799986092,0.06474292299981244,0.06011089000003267,0.3995645989998593,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,2,0.02,3,1,3,3.155942610337466e-07,2.875692730773067e-09,0.00911199310581116,0.25171433300010904,0.007167177000155789,0.03959531700002117,0.20495183899993208,0.03477047600017613,0.03467840099892783,0.021735922998686874,2.646100074343849e-05,2.7206998311157804e-05,0.00023095199821909773,0.0019225900009587349,0.0020333879988356784,64,0.0005418500156082473,0.0003396237968544824,64,0,64,64,0,64,0.011851326997202705,0.00018517698433129226,64,64,446,0,700,0,159,0,5.879999662283808e-06,0.20255676599936123,8.00190005065815e-05,0.0008017150003070128,0.00982522100002825,2.0240004232618958e-06,0.0008817340008135943,2.0240004232618958e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.00982522100002825,2.0240004232618958e-06,0.14985198799968202,2.9124000320734922e-05,0.00018347200011703535,0.04287955699965096,5.0895000185846584e-05,0.0006182430001899775,0.00982522100002825,0.14985198799968202,0.04287955699965096,2.9124000320734922e-05,0.00018347200011703535,5.0895000185846584e-05,0.0006182430001899775,1,1,1,1,1,1,1,0.0,0.0,0.0,0.03475809299834509,0.005692718005320785,0.009377412003686914,0.22565922900002988,0.0002428030002192827,0.0,0.02468863899957796,0.001602647999789042,4.247900005793781e-05,3.053699992960901e-05,0.06336211899997579,0.0635060570002679,0.057102623999981006,0.4033927760001461,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,3,0.04,1,1,3,0.003486726843316954,2.9072714776764468e-05,0.008338110807988429,0.24358099600067362,0.006960621000416722,0.038234845000260975,0.19838552999999592,0.03297199600001477,0.032884815002034884,0.02070486900038304,2.5031999030034058e-05,2.8726999971695477e-05,0.00023294400079976185,0.0019145969999954104,0.002196797000578954,64,0.0005138252344067951,0.000323513578130985,64,0,64,64,0,64,0.011136068001633248,0.0001740010625255195,64,64,446,0,700,0,159,0,6.3430006775888614e-06,0.19712530099968717,8.269399995697313e-05,0.0008295970001199748,0.009320889999798965,1.994000285776565e-06,0.000912291000076948,1.994000285776565e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009320889999798965,1.994000285776565e-06,0.14446775100032028,3.359299989824649e-05,0.00021996999976181542,0.04333665999956793,4.910100005872664e-05,0.0006096270003581594,0.009320889999798965,0.14446775100032028,0.04333665999956793,3.359299989824649e-05,0.00021996999976181542,4.910100005872664e-05,0.0006096270003581594,1,1,1,1,1,1,1,0.0,0.0,0.0,0.03296011399743293,0.0054309569950419245,0.009344220000002679,0.22064706499986642,0.000306621999698109,0.0,0.02503699900034917,0.0018420930000502267,4.499400029089884e-05,3.1429000046045985e-05,0.06853888600016944,0.06866901900002631,0.06043305399998644,0.4045357589998275,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,3,0.04,2,1,3,2.9072714776759972e-05,2.532955023487046e-07,0.008712481936884096,0.2527058779996878,0.007114978000117844,0.04243112899985135,0.2031597709997186,0.03755541300006371,0.037459845999364916,0.023456120999981067,2.688699896680191e-05,2.6775998776429333e-05,0.00023268399945663987,0.001920887998494436,0.0020419719976416673,64,0.0005853100937400768,0.0003665018906247042,64,0,64,64,0,64,0.012718055000277673,0.00019871960937933864,64,64,446,0,700,0,159,0,6.042999302735552e-06,0.20187392600018939,7.973899982971488e-05,0.0008206289999179717,0.009937669999999343,3.968000328313792e-06,0.0009003679997476866,3.968000328313792e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.009937669999999343,3.968000328313792e-06,0.1494246430002022,3.154899968649261e-05,0.00019056500013903133,0.04251161299998785,4.819000014322228e-05,0.0006300639997789403,0.009937669999999343,0.1494246430002022,0.04251161299998785,3.154899968649261e-05,0.00019056500013903133,4.819000014322228e-05,0.0006300639997789403,1,1,1,1,1,1,1,0.0,0.0,0.0,0.037541556999713066,0.005904149994876207,0.009394925002652599,0.22467407399972217,0.00022637199981545564,0.0,0.025738334999914514,0.0015524940004070231,4.136699999435223e-05,3.041600029973779e-05,0.06720520100043359,0.0673402319998786,0.06126171500000055,0.4133329969999977,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,ilu,global_ilu,375,729,1104,3,0.04,3,1,3,2.53295502342383e-07,2.207762206504144e-09,0.008716152423108886,0.24798994299953847,0.007452879000084067,0.03940226699978666,0.20113479699966774,0.0347699530002501,0.03467816299962578,0.021963087998756237,2.6574000457912916e-05,2.5848001769190887e-05,0.00021971199885228998,0.001839106001170876,0.001928601000145136,64,0.0005418462968691529,0.0003431732499805662,64,0,64,64,0,64,0.01164661200118644,0.00018197831251853813,64,64,446,0,700,0,159,0,5.761998636444332e-06,0.19897399799992854,8.123099996737437e-05,0.0008175140001185355,0.010173496999868803,2.3539996618637815e-06,0.0008987450000859099,2.3539996618637815e-06,0.0,0.0,0.0,3,3,0,2,2,1,0,0,0.010173496999868803,2.3539996618637815e-06,0.14715789699994275,2.9414999971777434e-05,0.0001650280000831117,0.04164260400011699,5.181599999559694e-05,0.0006524860000354238,0.010173496999868803,0.14715789699994275,0.04164260400011699,2.9414999971777434e-05,0.0001650280000831117,5.181599999559694e-05,0.0006524860000354238,1,1,1,1,1,1,1,0.0,0.0,0.0,0.03475709799931792,0.005682745999820327,0.009423361002973252,0.22162681600002543,0.0002682700001059857,0.0,0.02476612300006309,0.0017978999999286316,3.854199985653395e-05,3.064700013055699e-05,0.06600596699991002,0.06615028499982145,0.058950294999704056,0.4042922180001369,False,False,False,False,False,False,,,0,0,0,0,0
