mode,mesh_resolution,build_path,linear_solver_mode,ksp_type,pc_type,block_pc_name,ndof_u,ndof_phi,total_dofs,accepted_state_index,load_value,newton_iteration_within_load,linear_iterations,ksp_reason,outer_residual_norm_before_linear,outer_residual_norm_after_linear,relative_linear_reduction,assembly_time,struct_block_assembly_time,contact_block_assembly_time,phi_block_assembly_time,contact_quadrature_loop_time,contact_geometry_eval_time,contact_gap_normal_eval_time,contact_active_filter_time,contact_local_residual_time,contact_local_tangent_uu_time,contact_local_tangent_uphi_time,contact_geometry_eval_call_count,contact_geometry_eval_avg_time,contact_query_call_count,contact_query_cache_hit_count,contact_query_cache_miss_count,contact_sensitivity_call_count,contact_sensitivity_cache_hit_count,contact_sensitivity_cache_miss_count,contact_local_tangent_uphi_call_count,contact_local_tangent_uu_call_count,cell_geometry_cache_hit_count,cell_geometry_cache_miss_count,function_cell_dof_cache_hit_count,function_cell_dof_cache_miss_count,vector_subfunction_cache_hit_count,vector_subfunction_cache_miss_count,contact_scatter_to_global_time,phi_form_assembly_time,phi_matrix_extract_or_convert_time,phi_rhs_extract_or_convert_time,dofmap_lookup_time,surface_entity_iteration_time,basis_eval_or_tabulation_time,numpy_temp_allocation_time,block_build_time,bc_elimination_time,global_matrix_allocation_time,global_matrix_fill_time,global_rhs_build_time,petsc_object_setup_time,ksp_setup_time,ksp_solve_time,linear_solve_time,state_update_time,newton_step_walltime,reused_global_matrix,reused_global_rhs_vec,reused_ksp,reused_fieldsplit_is,reused_subksp,reuse_attempted,reuse_failed_stage,reuse_failure_message,nnz_global,nnz_Juu,nnz_Juphi,nnz_Jphiu,nnz_Jphiphi
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,2,0.02,1,2,3,0.004040188733215321,3.464326321892378e-05,0.008574664577947448,0.053747741999998766,0.008079737999999281,0.03580325800000139,0.20509035900000328,0.03089502099999919,0.030782300999952383,2.854300000620924e-05,2.8056000026310812e-05,0.00023033099998315265,0.002009239999999579,0.0020806100000356764,64,0.000480973453124256,64,0,64,64,0,64,64,64,384,0,576,0,128,0,5.849999993756683e-06,0.19522447100000306,0.19496516799999597,0.009861018999998805,0.0,0.03088330499995351,0.005041207000040515,0.00846824500004928,0.22625491400000186,0.0001914169999963633,0.0,0.025303140999994866,0.0010552569999973116,3.764000000217038e-05,0.2794765470000016,0.03492452000000412,0.3145067319999981,0.06145368500000359,0.6561814809999973,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,2,0.02,2,2,3,3.464326321892377e-05,3.15594283439447e-07,0.009109831295195502,0.05996399199999303,0.008003854999998339,0.04204246599999806,0.2116220209999966,0.03718300899999605,0.03707232399997906,2.90059999841219e-05,2.7627000022789616e-05,0.000233501999964858,0.0019341640000334337,0.0021480130000526287,64,0.0005792550624996728,64,0,64,64,0,64,64,64,446,0,700,0,159,0,6.001000009803192e-06,0.20170321699999505,0.19907964899999797,0.009913944000004449,0.0,0.037171124999986205,0.0064943109999830995,0.00858717599997405,0.23263904400000257,0.00021110299999804738,0.0,0.02510873800000013,0.001624537999994402,3.890200000000732e-05,0.25279334300000045,0.033620258999995656,0.29757102299999616,0.062115599999998494,0.6527675809999991,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,2,0.02,3,2,3,3.15594283437944e-07,2.875692980533647e-09,0.009111993250343842,0.05751588000000396,0.0073413699999989035,0.03967493300000058,0.20243777600000357,0.03489730900000154,0.03479256900002525,2.7915000018197134e-05,2.538199998980417e-05,0.0002294179999893231,0.0019136699999862117,0.0020432729999839694,64,0.0005436338906253946,64,0,64,64,0,64,64,64,446,0,700,0,159,0,5.882000003509802e-06,0.19193686700000256,0.19163748900000144,0.010495859000002383,0.0,0.03488550599997353,0.005829701999971348,0.008586564000051311,0.22252889300000334,0.00019535400000592062,0.0,0.02526113300000077,0.0010403189999976803,3.685900000505171e-05,0.23587727900000033,0.03333855400000374,0.26945699200000206,0.05999664200000154,0.6099804440000014,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,3,0.04,1,3,3,0.003486726843317205,2.9072714776779962e-05,0.008338110807992271,0.056422610999995015,0.0075591579999994,0.03894189500000067,0.20189118599999745,0.03399327399999663,0.03388844900000976,2.85170000324797e-05,2.3457000004611928e-05,0.00022378400004186005,0.0018926959999703286,0.0020081420000011008,64,0.0005295070156251525,64,0,64,64,0,64,64,64,446,0,700,0,159,0,5.7169999791995e-06,0.191968456000005,0.19167825400000282,0.00991699000000068,0.0,0.03398178999997725,0.005742415000035805,0.008562930999904239,0.22304371200000617,0.00019443200000068828,0.0,0.02584150399999885,0.001040740000007645,3.390299999495028e-05,0.22955719200000146,0.03511521700000486,0.2647708619999989,0.059996120999997515,0.6044625440000004,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,3,0.04,2,2,3,2.9072714776775463e-05,2.5329555169015237e-07,0.008712483634053183,0.05624334699999878,0.007216998000004082,0.03873405999999591,0.2035944899999933,0.03371012799999562,0.03359601399998269,4.121600000672743e-05,2.8673000024070916e-05,0.00026262000002219565,0.0020302480000182754,0.002164933000024405,64,0.0005249377187497295,64,0,64,64,0,64,64,64,446,0,700,0,159,0,6.070999994278736e-06,0.19330096799999552,0.1930417650000038,0.010288622000004466,0.0,0.033698866999984034,0.005652368999932378,0.008565828000026698,0.22433393599999363,0.000258510999998407,0.0,0.025195619999998087,0.001664401999995846,3.625699999787457e-05,0.2317895529999987,0.03342230199999818,0.26543741500000095,0.0592293619999964,0.605712834000002,False,False,False,False,False,False,,,0,0,0,0,0
baseline,4x4x4,optimized,krylov,gmres,fieldsplit,fieldsplit_schur_lower_selfp_ilu,375,729,1104,3,0.04,3,2,3,2.5329555168383054e-07,2.207762855737312e-09,0.008716153288365258,0.0564213770000066,0.007030751000002056,0.03948632000000174,0.2035534150000089,0.03458742200000131,0.03448130999998966,3.0323999993697726e-05,2.8591000017286206e-05,0.00024221999995432952,0.0019813720000243507,0.0020913090000149737,64,0.0005387704687498385,64,0,64,64,0,64,64,64,446,0,700,0,159,0,5.8079999973870144e-06,0.19364792700000066,0.19333896100000203,0.009900539000000208,0.0,0.03457591900000523,0.005855130000021802,0.008576091999966451,0.22515522900000207,0.0002844799999976999,0.0,0.02509229800000412,0.0017774330000008831,3.797099999758302e-05,0.22803886200000534,0.03372750900000199,0.262002080000002,0.058400115999994284,0.6024631869999979,False,False,False,False,False,False,,,0,0,0,0,0
